image,n_gt,dr,miss,dup,cm_mean
001--1-_jpg.rf.wkSeYcM5YoL66nCZGlH7.jpg,1,1.0,0,0,0.8979883193969727
001--2-_jpg.rf.7EHquHvIY9vsPYQbsvMP.jpg,2,1.0,0,0,0.6596880853176117
1-1_jpg.rf.dccCthVttEtDYGpWa56D.jpg,1,1.0,0,0,0.9460446238517761
101_1184_jpg.rf.mwnbApr7tM4bxHfAHISo.jpg,1,2.0,0,1,0.36895549297332764
101_1989_jpg.rf.aEBkTDHD43IXVUSlU5XM.jpg,2,1.0,0,0,0.9337761402130127
101_2257_jpg.rf.aHGbZRugV1vknghARKLe.jpg,1,1.0,0,0,0.9514252543449402
101_2265_jpg.rf.ic06sdv1YV1zRMcxMC61.jpg,1,1.0,0,0,0.9380502700805664
101_2269_jpg.rf.s076KlyzgjjVa3pQWZdN.jpg,1,1.0,0,0,0.9349108934402466
101_2281_jpg.rf.0vhB8rx1VydlzpMTug9i.jpg,2,1.0,0,0,0.9230176210403442
101_2285_jpg.rf.ilx7hI28oV2swsiqjL8y.jpg,1,1.0,0,0,0.9195590615272522
1_1_jpg.rf.SZ7yetOhQSShmXal2O1J.jpg,1,1.0,0,0,0.6212564706802368
2005-mitsubishi-fuso-fm260-18ft-dies-1_jpg.rf.FFc03begTs8TdKM8pB5M.jpg,1,1.0,0,0,0.9090040922164917
2005-mitsubishi-fuso-fm260-18ft-dies-2_jpg.rf.p2kHTS3QvWRWWjkjyf5R.jpg,1,1.0,0,0,0.9383134245872498
2005-mitsubishi-fuso-fm260-18ft-dies-3_jpg.rf.2gHEqMSHoay5guuHWS4X.jpg,1,1.0,0,0,0.8459612131118774
2005-mitsubishi-fuso-fm260-18ft-dies_jpg.rf.kqzVHj7ekIbyccscNANB.jpg,1,1.0,0,0,0.9382082223892212
202005139300424_jpg.rf.Wed0Qpgi0K4kowc4EdsR.jpg,5,0.4000000059604645,3,0,0.34333153393818067
202005139308815_jpg.rf.fMjFWT4ae0HhHQMVrg74.jpg,1,1.0,0,0,0.9227787852287292
202010265448683_jpg.rf.yDK15bISuiQP0Bd7bl4A.jpg,1,1.0,0,0,0.9430240392684937
