image,n_gt,dr,miss,dup,cm_mean
001--1-_jpg.rf.wkSeYcM5YoL66nCZGlH7.jpg,1,1.0,0,0,0.9242112040519714
001--2-_jpg.rf.7EHquHvIY9vsPYQbsvMP.jpg,2,0.5,1,0,0.46630727894080337
1-1_jpg.rf.dccCthVttEtDYGpWa56D.jpg,1,1.0,0,0,0.9646714925765991
101_1184_jpg.rf.mwnbApr7tM4bxHfAHISo.jpg,1,1.0,0,0,0.7206599712371826
101_1989_jpg.rf.aEBkTDHD43IXVUSlU5XM.jpg,2,1.0,0,0,0.9413318932056427
101_2257_jpg.rf.aHGbZRugV1vknghARKLe.jpg,1,1.0,0,0,0.9058595895767212
101_2265_jpg.rf.ic06sdv1YV1zRMcxMC61.jpg,1,1.0,0,0,0.9133442640304565
101_2269_jpg.rf.s076KlyzgjjVa3pQWZdN.jpg,1,1.0,0,0,0.9339545965194702
101_2281_jpg.rf.0vhB8rx1VydlzpMTug9i.jpg,2,0.5,1,0,0.4808206595480442
101_2285_jpg.rf.ilx7hI28oV2swsiqjL8y.jpg,1,1.0,0,0,0.949609637260437
1_1_jpg.rf.SZ7yetOhQSShmXal2O1J.jpg,1,1.0,0,0,0.7874288558959961
2005-mitsubishi-fuso-fm260-18ft-dies-1_jpg.rf.FFc03begTs8TdKM8pB5M.jpg,1,1.0,0,0,0.8949951529502869
2005-mitsubishi-fuso-fm260-18ft-dies-2_jpg.rf.p2kHTS3QvWRWWjkjyf5R.jpg,1,1.0,0,0,0.9180933833122253
2005-mitsubishi-fuso-fm260-18ft-dies-3_jpg.rf.2gHEqMSHoay5guuHWS4X.jpg,1,1.0,0,0,0.8960830569267273
2005-mitsubishi-fuso-fm260-18ft-dies_jpg.rf.kqzVHj7ekIbyccscNANB.jpg,1,1.0,0,0,0.7116464376449585
202005139300424_jpg.rf.Wed0Qpgi0K4kowc4EdsR.jpg,5,0.6000000238418579,2,0,0.6624735816149041
202005139308815_jpg.rf.fMjFWT4ae0HhHQMVrg74.jpg,1,1.0,0,0,0.9226210713386536
202010265448683_jpg.rf.yDK15bISuiQP0Bd7bl4A.jpg,1,1.0,0,0,0.9419882297515869
202010265449562_jpg.rf.TLJ3BbNJTF54QVcVa218.jpg,1,1.0,0,0,0.7980347871780396
202012116998536_jpg.rf.AsG6uki2QsY8S2d1g0zP.jpg,1,1.0,0,0,0.9301019906997681
202012117003463_jpg.rf.0jxuAx9DqK3MuLNqEsKV.jpg,2,1.0,0,0,0.6027934104204178
202102179152860_jpg.rf.SR6UpCnkqtsz3sDYYMY9.jpg,4,0.5,2,0,0.4006407323759049
202102179155180_jpg.rf.826yWVJ35QykR4RrTlZD.jpg,1,1.0,0,0,0.9389218091964722
202102179161742_jpg.rf.Xm0Ye5i4jhrAQZjlPziB.jpg,1,1.0,0,0,0.9457732439041138
202102179168359_jpg.rf.JPNqX0WJjWu0CaaDAJ0j.jpg,2,0.5,1,0,0.5248483791947365
202102179172095_jpg.rf.8X8Or3tN3Ve2XUHLsExj.jpg,3,0.6666666865348816,1,0,0.47972025830919546
202103190329292_jpg.rf.RT0UHVQBzQarDvHMk7aP.jpg,1,1.0,0,0,0.15212693810462952
202103190329782_jpg.rf.MyJaeNdadLEIhKZICcL4.jpg,2,1.0,0,0,0.5956869572401047
202103190333991_jpg.rf.D92w3ZYDjJZxyhO2ZqdA.jpg,1,1.0,0,0,0.7980176210403442
202103190333993_jpg.rf.wJkbdWwh9hqsDzWgCe6r.jpg,1,1.0,0,0,0.9380084276199341
202103190333994_jpg.rf.tfIuxqxEmQv3bLAdQpr3.jpg,1,1.0,0,0,0.9629761576652527
202103190333999_jpg.rf.ncyhpYHA7OIbdqWOJK3W.jpg,1,1.0,0,0,0.7780130505561829
202103190341597_jpg.rf.sugxrwYfZlQxYq7AP18f.jpg,1,1.0,0,0,0.7425816655158997
202103190347234_jpg.rf.LVKg5g3YhCVbw3EmExuy.jpg,2,1.0,0,0,0.5855685472488403
202103190347603_jpg.rf.mEKioKuEJtLr7CpKjnLk.jpg,1,1.0,0,0,0.950573742389679
202104071064186_jpg.rf.zqU6TE3CRp8pGxmLNvw9.jpg,1,1.0,0,0,0.937710165977478
202104071074832_jpg.rf.tQL17FJ2lCvhwQLpl3Us.jpg,1,1.0,0,0,0.892117977142334
202104071098662_jpg.rf.IucOucAQxSp5CKYW19Gv.jpg,1,1.0,0,0,0.8502941727638245
202104071099817_jpg.rf.LQGNDOnmr8gGOtFEglZ5.jpg,1,1.0,0,0,0.938386082649231
202104071100235_jpg.rf.qOvpVjfe85RVrjEN4Xov.jpg,1,1.0,0,0,0.9422721862792969
202104091169975_jpg.rf.iZlAyb3OWvCkENRQImng.jpg,2,0.5,1,0,0.262675940990448
202104091171398_jpg.rf.FndvsKlppgM6EnumPbok.jpg,1,1.0,0,0,0.9300856590270996
202104091171569_jpg.rf.smngu7dqFmIRQ241a0hX.jpg,1,1.0,0,0,0.9589424133300781
202104091185516_jpg.rf.FVbAcO0n6W7cARVmlBYp.jpg,1,1.0,0,0,0.9324763417243958
202104091187351_jpg.rf.ZHmWibbj93jc4agcJ1SI.jpg,2,0.5,1,0,0.4387427344918251
202104111224738_jpg.rf.p13hv68uNYNclPkQtVOb.jpg,2,0.5,1,0,0.49025215953588486
202104111224745_jpg.rf.ypDP4xRZLnIPGNWU5fLT.jpg,1,1.0,0,0,0.9395976662635803
202104111224746_jpg.rf.NnVI8sWYQC8jjj2zB5TV.jpg,1,1.0,0,0,0.9122360944747925
202104111224752_jpg.rf.iFJsrYTbL5WD948iEi3I.jpg,3,0.6666666865348816,1,0,0.9222318530082703
202104111242784_jpg.rf.PcgAPR14Ho7mCuaxvYna.jpg,1,1.0,0,0,0.9459370970726013
202104121258726_jpg.rf.BJbLlwt8olIRXeu27hWw.jpg,1,1.0,0,0,0.9455921053886414
202104121259531_jpg.rf.8p5YaVCKC4e1AGBUXOeY.jpg,1,1.0,0,0,0.9497838020324707
202104121264211_jpg.rf.bPLZM5bHJvHij2pCmSps.jpg,2,1.0,0,0,0.20104879885911942
202104121268333_jpg.rf.dr7e7oY1VWx54v9bFj5I.jpg,1,1.0,0,0,0.9118856191635132
202104121270245_jpg.rf.Kwmz367rawZxAC3XvIvS.jpg,1,1.0,0,0,0.9431802034378052
202104141335165_jpg.rf.pqnIjSm7mMqD3hSZXlhg.jpg,1,1.0,0,0,0.9404578804969788
202104141335170_jpg.rf.i7bk0f0ucP9H7Lc3MpUF.jpg,1,1.0,0,0,0.889504611492157
202104141335173_jpg.rf.Kzr7OhT17cyxkKqGznqG.jpg,1,1.0,0,0,0.9718713760375977
202104141335281_jpg.rf.0nG1MNoWnIeiAKAgisds.jpg,4,0.5,2,0,0.448229244602165
202104141335282_jpg.rf.DteOqKmlWaeghV3sQ68B.jpg,4,0.25,3,0,0.2327831224538386
202104141335304_jpg.rf.3SX9aiqHw5NqRifQpkfy.jpg,1,1.0,0,0,0.949826180934906
202104141345532_jpg.rf.UofQyPG6Z5JoaTCiDTbF.jpg,1,1.0,0,0,0.9190306067466736
202104141353836_jpg.rf.bJ7stKzQhUZTRjEubODh.jpg,1,1.0,0,0,0.9325442910194397
202104141362178_jpg.rf.nXzpLmazNv8ln5ucPByO.jpg,1,0.0,1,0,0.20186224579811096
202104161432578_jpg.rf.y8Vto6hg9MvOW5sdHNRI.jpg,1,1.0,0,0,0.2166164517402649
202104161433145_jpg.rf.MfaiarQ7xV6KO3D1OoR5.jpg,2,0.5,1,0,0.5322496294975281
202104161434627_jpg.rf.yqQRIL5xbn5XIHR48xHh.jpg,1,1.0,0,0,0.9405633807182312
