run,epoch_tercatat,epoch_terbaik,mAP50_95_val_terbaik,status
"V8 (default, bagi N objek)",99,49,0.64571,selesai (early-stop)
V8_normw (bagi Sigma w_i),125,104,0.63452,"MASIH BERJALAN (epoch 125 tercatat, belum berhenti)"
