pair,family,metric,n,n_eff,W,p,p_holm,median_diff,mean_diff,rank_biserial,W_plus,W_minus,signif_5pct,min_n_gt,n_sel_dibuang,sel_dibuang
V8 vs V1,primary,ap50,24,24,116,0.344877,,0.00891563,0.0110751,0.226667,184,116,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
V4 vs V1,primary,ap50,24,24,67,0.0164067,,-0.0239689,-0.0210397,-0.553333,67,233,True,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
V8 vs V5,primary,ap50,24,24,67,0.0164067,,0.0334714,0.0300269,0.553333,233,67,True,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
V1 vs V2,secondary,ap50,24,24,48,0.00251639,0.0402622,0.0239625,0.0245804,0.68,252,48,True,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
V1 vs V3,secondary,ap50,24,24,133,0.643142,1,0.0042218,0.00762175,0.113333,167,133,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
V1 vs V5,secondary,ap50,24,24,66,0.0150449,0.225674,0.0226267,0.0189517,0.56,234,66,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
V1 vs V6,secondary,ap50,24,24,8,2.98023e-06,7.45058e-05,0.0592573,0.0716601,0.946667,292,8,True,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
V1 vs V7,secondary,ap50,24,24,102,0.17798,1,0.0191293,0.0245094,0.32,198,102,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
V2 vs V3,secondary,ap50,24,24,93,0.107383,1,-0.0291796,-0.0169587,-0.38,93,207,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
V2 vs V4,secondary,ap50,24,24,130,0.583806,1,-0.00835694,-0.00354073,-0.133333,130,170,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
V2 vs V5,secondary,ap50,24,24,117,0.359626,1,-0.00709697,-0.00562867,-0.22,117,183,False,30,12,big-vehicle/density/dense(n=1); big-vehicle/occlusion/heavy(n=2); big-vehicle/occlusion/partial(n=27); big-vehicle/size/small(n=17); car/density/dense(n=11); car/occlusion/heavy(n=0); pedestrian/density/sparse(n=21); pedestrian/occlusion/heavy(n=2); pedestrian/size/large(n=1); two-wheeler/density/dense(n=21); two-wheeler/occlusion/heavy(n=0); two-wheeler/size/large(n=1)
