variant,class,dim,stratum,n_gt,AP50,AP50_95
V3,pedestrian,occlusion,heavy,2,0.0360,0.0162
V3,two-wheeler,occlusion,heavy,0,nan,nan
V3,big-vehicle,density,sparse,260,0.9038,0.7359
V3,car,density,sparse,137,0.8330,0.6378
V3,pedestrian,density,sparse,21,0.6493,0.4161
V3,two-wheeler,density,sparse,228,0.7004,0.4418
V3,big-vehicle,density,medium,70,0.5306,0.3535
V3,car,density,medium,263,0.8286,0.6077
V3,pedestrian,density,medium,540,0.8143,0.4864
V3,two-wheeler,density,medium,453,0.5858,0.3283
V3,big-vehicle,density,dense,1,0.0660,0.0528
V3,car,density,dense,11,0.7613,0.5460
V3,pedestrian,density,dense,77,0.7954,0.4615
V3,two-wheeler,density,dense,21,0.4348,0.3062
V4,big-vehicle,global,all,331,0.8024,0.6325
V4,car,global,all,411,0.8295,0.6111
V4,pedestrian,global,all,638,0.7793,0.4762
V4,two-wheeler,global,all,702,0.6482,0.3716
V4,big-vehicle,size,small,17,0.5114,0.3374
V4,car,size,small,160,0.7405,0.5094
V4,pedestrian,size,small,257,0.6551,0.3618
V4,two-wheeler,size,small,489,0.6470,0.3613
V4,big-vehicle,size,medium,123,0.5938,0.3961
V4,car,size,medium,215,0.8804,0.6650
V4,pedestrian,size,medium,380,0.8596,0.5567
V4,two-wheeler,size,medium,212,0.7060,0.4385
V4,big-vehicle,size,large,191,0.9449,0.8080
V4,car,size,large,36,0.9224,0.8021
V4,pedestrian,size,large,1,0.9901,0.7968
V4,two-wheeler,size,large,1,0.9901,0.8911
V4,big-vehicle,occlusion,no,302,0.7955,0.6294
V4,car,occlusion,no,372,0.8231,0.6135
V4,pedestrian,occlusion,no,473,0.7943,0.4929
V4,two-wheeler,occlusion,no,636,0.6579,0.3800
V4,big-vehicle,occlusion,partial,27,0.6657,0.4397
V4,car,occlusion,partial,39,0.4318,0.2529
V4,pedestrian,occlusion,partial,163,0.4519,0.2114
V4,two-wheeler,occlusion,partial,66,0.1033,0.0412
V4,big-vehicle,occlusion,heavy,2,0.2476,0.0817
V4,car,occlusion,heavy,0,nan,nan
V4,pedestrian,occlusion,heavy,2,0.0138,0.0069
V4,two-wheeler,occlusion,heavy,0,nan,nan
V4,big-vehicle,density,sparse,260,0.8936,0.7178
