pair,metric,n_boot,n_images,level,seed,map_a,map_b,diff_point,diff_mean_boot,ci_lo,ci_hi,frac_positif,selang_tanpa_nol
V8 vs V1,mAP50-95,1000,304,0.95,0,0.537388,0.525322,0.0120662,0.0123136,0.000889042,0.0222374,0.986,True
V4 vs V1,mAP50-95,1000,304,0.95,0,0.522839,0.525322,-0.00248366,-0.00173371,-0.013626,0.00962883,0.386,False
V8 vs V5,mAP50-95,1000,304,0.95,0,0.537388,0.516282,0.0211067,0.0210628,0.00940508,0.0327664,1,True
