epoch,stability,assigned_frac,anchors_per_gt,DR,miss_frac,dup_frac,cm_mean,cm_median
1,nan,1.0000,1.000,1.0000,0.1400,0.1311,0.5217,0.5779
2,0.6711,1.0000,1.000,0.9067,0.1867,0.0889,0.5579,0.6429
3,0.6000,1.0000,1.000,0.9067,0.1644,0.0689,0.5688,0.6682
4,0.6133,1.0000,1.000,1.1111,0.1000,0.1911,0.5967,0.7176
5,0.5333,1.0000,1.000,0.9778,0.1756,0.1489,0.5239,0.6201
6,0.5733,1.0000,1.000,1.0756,0.1133,0.1800,0.5799,0.6854
7,0.5733,1.0000,1.000,0.9711,0.1622,0.1222,0.5856,0.7131
8,0.6267,1.0000,1.000,0.9689,0.1511,0.1178,0.6188,0.7606
9,0.6600,1.0000,1.000,1.0267,0.1267,0.1511,0.6256,0.7659
10,0.6533,1.0000,1.000,0.8911,0.1733,0.0600,0.5777,0.7017
11,0.5933,1.0000,1.000,0.9422,0.1533,0.0956,0.5899,0.7312
12,0.5844,1.0000,1.000,0.9200,0.1600,0.0778,0.5883,0.7116
13,0.6422,1.0000,1.000,0.9556,0.1756,0.1267,0.5363,0.6413
14,0.6511,1.0000,1.000,0.8667,0.1911,0.0578,0.5892,0.7477
15,0.5711,1.0000,1.000,1.0067,0.1311,0.1244,0.6203,0.7747
16,0.6778,1.0000,1.000,0.9444,0.1378,0.0756,0.6361,0.7914
17,0.5844,1.0000,1.000,0.9400,0.1667,0.0978,0.5598,0.6759
18,0.5733,1.0000,1.000,0.9533,0.1844,0.1311,0.5598,0.7156
19,0.6867,1.0000,1.000,0.9333,0.1511,0.0822,0.5970,0.7165
20,0.6489,1.0000,1.000,0.9133,0.1622,0.0733,0.5911,0.7037
21,0.7133,1.0000,1.000,0.8978,0.1889,0.0844,0.5835,0.7552
22,0.5889,1.0000,1.000,0.9133,0.1711,0.0822,0.6305,0.7932
23,0.6600,1.0000,1.000,0.9644,0.1756,0.1267,0.5889,0.7254
24,0.6667,1.0000,1.000,0.9822,0.1644,0.1422,0.5834,0.7370
25,0.6667,1.0000,1.000,0.9600,0.1378,0.0933,0.6371,0.7878
26,0.7489,1.0000,1.000,0.9356,0.1644,0.0933,0.6035,0.7648
27,0.7244,1.0000,1.000,0.9711,0.1422,0.1089,0.6203,0.7879
28,0.6867,1.0000,1.000,0.9156,0.2067,0.1133,0.5749,0.7478
29,0.6600,1.0000,1.000,0.8756,0.1778,0.0533,0.6155,0.7868
30,0.7133,1.0000,1.000,0.8822,0.1800,0.0622,0.6143,0.7819
31,0.7200,1.0000,1.000,0.8578,0.2267,0.0822,0.5379,0.6544
32,0.6600,1.0000,1.000,0.8933,0.1911,0.0844,0.5955,0.7510
33,0.6111,1.0000,1.000,0.8467,0.2044,0.0489,0.5766,0.7163
