epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,11596.1,0.98983,0.53547,0.0041,0.81577,0.78687,0.8464,0.6001,1.15992,0.98407,0.02178,0.0293205,0.00977349,0.0293205,0.00977349,0.0293205,0.00977349,0.0293205,0.00977349
31,11984.1,0.98204,0.53985,0.00406,0.78522,0.7682,0.83315,0.59638,1.15521,0.94215,0.02155,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
32,12374,0.9612,0.51821,0.00401,0.77952,0.75585,0.81736,0.59137,1.13791,0.98019,0.02072,0.0292244,0.00974145,0.0292244,0.00974145,0.0292244,0.00974145,0.0292244,0.00974145
33,12760.2,0.97958,0.51456,0.00403,0.76271,0.7332,0.7955,0.57525,1.19819,1.0935,0.02347,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466
34,13201.7,0.97246,0.51435,0.00408,0.78813,0.72495,0.80251,0.55858,1.35206,1.09069,0.02712,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
35,13698.6,0.95955,0.51187,0.00407,0.78335,0.76322,0.8214,0.59196,1.13183,0.91958,0.02019,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955
36,14108.6,0.93874,0.49908,0.00398,0.77665,0.77019,0.80764,0.57024,1.22102,0.97313,0.02352,0.0290137,0.00967122,0.0290137,0.00967122,0.0290137,0.00967122,0.0290137,0.00967122
37,14555.2,0.94128,0.49737,0.00389,0.75978,0.76586,0.79764,0.57063,1.21881,0.97116,0.02346,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
38,14900.4,0.93713,0.4827,0.00389,0.81018,0.78223,0.85187,0.60141,1.1717,0.90186,0.02116,0.0288992,0.00963306,0.0288992,0.00963306,0.0288992,0.00963306,0.0288992,0.00963306
39,15332.6,0.92498,0.49318,0.00397,0.80015,0.72591,0.81816,0.58629,1.14578,1.01524,0.02116,0.0288397,0.00961322,0.0288397,0.00961322,0.0288397,0.00961322,0.0288397,0.00961322
40,15776.2,0.9412,0.49138,0.00387,0.80354,0.77803,0.83969,0.60018,1.18276,0.97492,0.02216,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
41,16099.7,0.92395,0.47255,0.00381,0.78198,0.71993,0.80789,0.58242,1.1779,1.06715,0.02193,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205
42,16483.2,0.9339,0.48789,0.00385,0.79033,0.80045,0.84192,0.60129,1.12331,0.9427,0.01967,0.0286522,0.00955072,0.0286522,0.00955072,0.0286522,0.00955072,0.0286522,0.00955072
43,16830.8,0.9143,0.46583,0.0037,0.80506,0.76896,0.82611,0.5942,1.17932,0.97229,0.02178,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
44,17108.3,0.92244,0.47673,0.00371,0.83147,0.79849,0.87692,0.63102,1.16629,0.84128,0.02089,0.0285197,0.00950658,0.0285197,0.00950658,0.0285197,0.00950658,0.0285197,0.00950658
45,17487,0.90589,0.46184,0.00372,0.79407,0.74027,0.8057,0.57221,1.14369,0.97601,0.0194,0.0284513,0.00948377,0.0284513,0.00948377,0.0284513,0.00948377,0.0284513,0.00948377
46,17904.6,0.91637,0.46426,0.00364,0.82307,0.76232,0.82997,0.59184,1.17423,0.95459,0.0216,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
47,18297.2,0.90219,0.45691,0.00367,0.83304,0.80136,0.87039,0.63047,1.12483,0.84728,0.02002,0.0283101,0.00943671,0.0283101,0.00943671,0.0283101,0.00943671,0.0283101,0.00943671
48,18685.6,0.9035,0.45481,0.00354,0.80664,0.78448,0.84106,0.60713,1.17188,0.93773,0.0217,0.0282374,0.00941245,0.0282374,0.00941245,0.0282374,0.00941245,0.0282374,0.00941245
49,19018,0.90052,0.45621,0.00359,0.79812,0.76947,0.83942,0.60613,1.14457,0.98054,0.02096,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
50,19357.9,0.89799,0.45096,0.00362,0.82675,0.77445,0.848,0.60515,1.1849,0.91988,0.02118,0.0280875,0.00936251,0.0280875,0.00936251,0.0280875,0.00936251,0.0280875,0.00936251
51,19820,0.89935,0.45072,0.00368,0.76834,0.75302,0.79321,0.56283,1.18575,1.01613,0.02241,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683
52,20219.2,0.89074,0.44362,0.00353,0.82723,0.77191,0.84354,0.61346,1.11401,0.92053,0.01975,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
53,20583.9,0.88961,0.43587,0.00351,0.82836,0.76158,0.84125,0.61096,1.165,1.01486,0.02106,0.0278522,0.00928405,0.0278522,0.00928405,0.0278522,0.00928405,0.0278522,0.00928405
54,20895.2,0.888,0.43776,0.00355,0.81538,0.77027,0.84237,0.61459,1.16371,0.97283,0.02147,0.0277709,0.00925697,0.0277709,0.00925697,0.0277709,0.00925697,0.0277709,0.00925697
55,21311.7,0.87763,0.44096,0.00353,0.82986,0.7723,0.84633,0.58318,1.20738,0.95774,0.02071,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
56,21746.4,0.87338,0.42925,0.00358,0.83319,0.77544,0.85992,0.61495,1.15655,0.87564,0.02086,0.0276043,0.00920142,0.0276043,0.00920142,0.0276043,0.00920142,0.0276043,0.00920142
57,22150.5,0.88616,0.43738,0.00346,0.74267,0.77001,0.81138,0.57568,1.17289,1.11452,0.02124,0.0275189,0.00917296,0.0275189,0.00917296,0.0275189,0.00917296,0.0275189,0.00917296
58,22553.3,0.88375,0.43483,0.00342,0.81314,0.77692,0.84954,0.61701,1.13978,0.95393,0.02046,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
59,22952.1,0.86322,0.42491,0.0034,0.8169,0.8031,0.86657,0.62947,1.1242,0.85693,0.0192,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469
60,23307.4,0.87246,0.42332,0.00346,0.81987,0.75301,0.83018,0.58756,1.23439,1.02635,0.02335,0.0272546,0.00908488,0.0272546,0.00908488,0.0272546,0.00908488,0.0272546,0.00908488
61,23665.6,0.86807,0.42194,0.00346,0.81526,0.77763,0.83539,0.59693,1.1539,0.94259,0.02027,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
62,24138.5,0.86194,0.42109,0.00337,0.8552,0.7702,0.8635,0.61589,1.10908,0.84385,0.01845,0.0270718,0.00902395,0.0270718,0.00902395,0.0270718,0.00902395,0.0270718,0.00902395
63,24499.9,0.86497,0.41513,0.00338,0.77108,0.75092,0.80442,0.56764,1.18439,1.03586,0.0207,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282
64,24777.5,0.86039,0.41804,0.00356,0.80558,0.77909,0.83794,0.60251,1.21557,1.02218,0.02346,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
65,25118.4,0.85444,0.4102,0.00345,0.80347,0.7316,0.81502,0.5858,1.15917,1.05773,0.02094,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928
