epoch,stability,assigned_frac,anchors_per_gt,DR,miss_frac,dup_frac,cm_mean,cm_median
1,nan,1.0000,1.000,1.0444,0.1933,0.2311,0.3811,0.3287
2,0.6333,1.0000,1.000,1.0311,0.1200,0.1467,0.5631,0.6450
3,0.6400,1.0000,1.000,0.9578,0.1156,0.0711,0.6162,0.7232
4,0.6178,1.0000,1.000,0.9822,0.1244,0.1022,0.5987,0.7094
5,0.6400,1.0000,1.000,0.9356,0.1333,0.0689,0.6143,0.7472
6,0.6867,1.0000,1.000,0.9667,0.1333,0.1000,0.6029,0.7327
7,0.6133,1.0000,1.000,0.8622,0.2178,0.0778,0.5231,0.6201
8,0.5978,1.0000,1.000,0.8756,0.1956,0.0622,0.5793,0.7238
9,0.6222,1.0000,1.000,0.9600,0.1289,0.0822,0.6346,0.7511
10,0.6378,1.0000,1.000,0.9444,0.1422,0.0800,0.6093,0.7600
11,0.6556,1.0000,1.000,0.9244,0.1511,0.0733,0.6290,0.7780
12,0.6667,1.0000,1.000,0.9200,0.1578,0.0733,0.6265,0.7796
13,0.6311,1.0000,1.000,0.9289,0.1333,0.0600,0.6424,0.7962
14,0.6711,1.0000,1.000,0.8756,0.1689,0.0444,0.5889,0.7190
15,0.6800,1.0000,1.000,0.9889,0.1133,0.0933,0.6381,0.7877
16,0.6356,1.0000,1.000,0.8400,0.2111,0.0489,0.5682,0.7028
17,0.6822,1.0000,1.000,0.9467,0.1244,0.0711,0.6355,0.7656
18,0.6489,1.0000,1.000,0.9578,0.1667,0.1200,0.5701,0.6843
19,0.6200,1.0000,1.000,0.9156,0.1556,0.0689,0.6167,0.7670
20,0.6089,1.0000,1.000,0.8867,0.1844,0.0667,0.6145,0.7809
21,0.6067,1.0000,1.000,0.8444,0.2044,0.0489,0.5818,0.7353
22,0.6622,1.0000,1.000,0.9000,0.1733,0.0644,0.6115,0.7697
23,0.6444,1.0000,1.000,0.9356,0.1378,0.0667,0.6601,0.8282
24,0.6356,1.0000,1.000,0.8756,0.1956,0.0689,0.5883,0.7450
25,0.6711,1.0000,1.000,0.8867,0.1733,0.0533,0.6255,0.7944
26,0.7600,1.0000,1.000,0.8711,0.1867,0.0556,0.5934,0.7329
27,0.6711,1.0000,1.000,0.8244,0.2244,0.0467,0.5956,0.7396
28,0.6311,1.0000,1.000,0.7844,0.2711,0.0533,0.5397,0.6685
29,0.6289,1.0000,1.000,0.9200,0.1600,0.0733,0.6364,0.8236
30,0.6822,1.0000,1.000,0.8222,0.2356,0.0578,0.5460,0.6724
31,0.7578,1.0000,1.000,0.8356,0.2178,0.0533,0.5690,0.7152
32,0.6733,1.0000,1.000,0.9200,0.1556,0.0689,0.6302,0.8018
33,0.7156,1.0000,1.000,0.8489,0.2044,0.0511,0.5913,0.7449
34,0.6778,1.0000,1.000,0.7689,0.2822,0.0511,0.4932,0.5671
35,0.6089,1.0000,1.000,0.9289,0.1711,0.0911,0.6000,0.7462
36,0.6733,1.0000,1.000,0.9022,0.1689,0.0711,0.6337,0.8030
37,0.5867,1.0000,1.000,0.8511,0.1956,0.0467,0.5780,0.7146
38,0.6933,1.0000,1.000,0.8733,0.1711,0.0422,0.6303,0.7808
39,0.6578,1.0000,1.000,0.8644,0.1889,0.0511,0.6004,0.7403
40,0.6978,1.0000,1.000,0.8178,0.2244,0.0400,0.5481,0.6603
41,0.6267,1.0000,1.000,0.8911,0.1667,0.0578,0.6048,0.7375
42,0.6889,1.0000,1.000,0.9178,0.1333,0.0511,0.6888,0.8258
43,0.7022,1.0000,1.000,0.8800,0.1733,0.0533,0.6448,0.7926
44,0.6711,1.0000,1.000,0.8778,0.1800,0.0578,0.6229,0.7698
45,0.6978,1.0000,1.000,0.8711,0.1778,0.0489,0.6416,0.8073
46,0.6267,1.0000,1.000,0.9133,0.1667,0.0778,0.6246,0.7923
47,0.6733,1.0000,1.000,0.8644,0.1733,0.0378,0.6321,0.7766
48,0.6978,1.0000,1.000,0.8667,0.1644,0.0311,0.6646,0.8244
49,0.6022,1.0000,1.000,0.8689,0.1889,0.0556,0.6163,0.7794
50,0.5600,1.0000,1.000,0.8289,0.2400,0.0689,0.5485,0.6763
51,0.6667,1.0000,1.000,0.7578,0.2889,0.0467,0.5231,0.6507
52,0.6422,1.0000,1.000,0.7911,0.2400,0.0311,0.5843,0.7494
53,1.0000,1.0000,1.000,0.7911,0.2400,0.0311,0.5843,0.7494
