epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,91.5038,1.7922,2.59996,0.00682,0.72263,0.76179,0.77608,0.60837,1.11302,1.36457,0.01386,0.00993289,0.00331096,0.00993289,0.00331096,0.0768233,0.0702013,0.00993289,0.00331096
2,159.669,1.72252,1.16965,0.00657,0.81577,0.75151,0.83088,0.60665,1.37362,1.30527,0.02019,0.0199323,0.00664411,0.0199323,0.00664411,0.0534894,0.0402012,0.0199323,0.00664411
3,219.079,1.77553,1.13559,0.00691,0.76084,0.76279,0.82787,0.60078,1.34107,1.36458,0.01992,0.0299296,0.00997655,0.0299296,0.00997655,0.0301533,0.0102003,0.0299296,0.00997655
4,277.004,1.76693,1.15448,0.00728,0.7322,0.7056,0.7627,0.53291,1.45061,1.32051,0.02155,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
5,334.955,1.77574,1.12395,0.00728,0.77631,0.75663,0.81232,0.56504,1.53888,1.35493,0.02603,0.029987,0.00999566,0.029987,0.00999566,0.029987,0.00999566,0.029987,0.00999566
6,392.485,1.74305,1.05509,0.00719,0.76318,0.80382,0.83935,0.59798,1.45757,1.11593,0.02357,0.0299796,0.00999322,0.0299796,0.00999322,0.0299796,0.00999322,0.0299796,0.00999322
7,450.139,1.72214,1.00129,0.00696,0.78081,0.78301,0.8327,0.57856,1.53231,1.18259,0.02421,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
8,507.838,1.71755,0.99993,0.00685,0.74102,0.71609,0.78072,0.54323,1.56861,1.40574,0.02613,0.0299601,0.00998671,0.0299601,0.00998671,0.0299601,0.00998671,0.0299601,0.00998671
9,565.693,1.70103,0.97242,0.00682,0.83751,0.77549,0.87738,0.62654,1.45249,1.05468,0.0221,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264
10,623.369,1.69228,0.9598,0.00668,0.79089,0.77221,0.82977,0.55242,1.54185,1.23538,0.02569,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
11,683.246,1.65631,0.92192,0.00656,0.72772,0.72336,0.76894,0.53415,1.50658,1.46163,0.026,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288
12,744.985,1.62308,0.89738,0.00664,0.7611,0.7947,0.83176,0.60238,1.41402,1.1768,0.02204,0.0299016,0.0099672,0.0299016,0.0099672,0.0299016,0.0099672,0.0299016,0.0099672
13,807.657,1.66178,0.90542,0.00647,0.7886,0.7581,0.83414,0.59829,1.44166,1.13782,0.0221,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
14,867.62,1.60535,0.87399,0.00644,0.7449,0.79201,0.81261,0.57076,1.48641,1.23228,0.02287,0.0298626,0.0099542,0.0298626,0.0099542,0.0298626,0.0099542,0.0298626,0.0099542
15,925.466,1.60959,0.87196,0.00642,0.7887,0.7382,0.82318,0.57857,1.52797,1.27533,0.02537,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469
16,983.716,1.6072,0.85714,0.00635,0.77254,0.7466,0.81853,0.59457,1.41508,1.35815,0.02408,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
17,1041.56,1.59896,0.84277,0.00627,0.81429,0.78697,0.86769,0.63246,1.3805,1.0071,0.02042,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068
18,1099.17,1.57564,0.84264,0.00629,0.79417,0.7584,0.83816,0.60987,1.41885,1.25594,0.02172,0.0297653,0.00992177,0.0297653,0.00992177,0.0297653,0.00992177,0.0297653,0.00992177
19,1156.78,1.57148,0.81775,0.00619,0.79156,0.76937,0.85137,0.61072,1.47475,1.25238,0.02389,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
20,1214.09,1.56345,0.80836,0.00614,0.83378,0.78458,0.87218,0.62648,1.40992,1.09079,0.02235,0.029707,0.00990234,0.029707,0.00990234,0.029707,0.00990234,0.029707,0.00990234
21,1272.23,1.54568,0.81512,0.00619,0.77726,0.78257,0.84515,0.61606,1.38452,1.08966,0.02162,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183
22,1329.77,1.54017,0.79799,0.00611,0.75407,0.75674,0.81095,0.58615,1.52573,1.42022,0.02609,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
23,1387.68,1.53827,0.78103,0.00593,0.81861,0.75567,0.82907,0.60188,1.4471,1.2103,0.02385,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922
24,1446.01,1.53197,0.78482,0.00601,0.82183,0.69695,0.78746,0.57269,1.56756,1.51845,0.02743,0.0295713,0.00985711,0.0295713,0.00985711,0.0295713,0.00985711,0.0295713,0.00985711
25,1503.87,1.50943,0.7764,0.00593,0.79212,0.72771,0.81464,0.57784,1.49803,1.37044,0.02263,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
26,1561.31,1.52716,0.7654,0.00589,0.76784,0.75228,0.80577,0.58475,1.46411,1.36598,0.02278,0.029494,0.00983133,0.029494,0.00983133,0.029494,0.00983133,0.029494,0.00983133
27,1619.45,1.5237,0.76321,0.00583,0.80273,0.76913,0.83742,0.59831,1.48895,1.22701,0.02355,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765
28,1677.15,1.46926,0.74874,0.00596,0.7676,0.69491,0.77081,0.56861,1.45332,1.48458,0.02311,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
29,1734.55,1.483,0.74843,0.00596,0.7931,0.70123,0.78929,0.56626,1.46989,1.35018,0.02339,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873
30,1792.52,1.51064,0.75603,0.00585,0.80163,0.75928,0.84177,0.61233,1.46734,1.17275,0.02521,0.0293205,0.00977349,0.0293205,0.00977349,0.0293205,0.00977349,0.0293205,0.00977349
31,1854.06,1.50041,0.74219,0.00579,0.76938,0.73968,0.81227,0.59339,1.49794,1.38926,0.02557,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
32,1916.33,1.46542,0.73119,0.00574,0.76743,0.73697,0.81262,0.59768,1.42554,1.28735,0.02396,0.0292244,0.00974145,0.0292244,0.00974145,0.0292244,0.00974145,0.0292244,0.00974145
33,1978.52,1.4795,0.72152,0.00566,0.79651,0.76996,0.83567,0.61321,1.44808,1.25221,0.02371,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466,0.029174,0.00972466
34,2041.61,1.46956,0.73065,0.00574,0.81278,0.80516,0.87428,0.63557,1.40567,1.02684,0.02157,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
35,2099.91,1.46479,0.72747,0.00577,0.77596,0.7106,0.8143,0.59266,1.40554,1.28722,0.02105,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955,0.0290686,0.00968955
36,2158.02,1.43056,0.70657,0.00563,0.8178,0.76541,0.83713,0.61007,1.41172,1.28213,0.0217,0.0290137,0.00967122,0.0290137,0.00967122,0.0290137,0.00967122,0.0290137,0.00967122
37,2216.35,1.44971,0.70139,0.00561,0.81946,0.79132,0.85721,0.6069,1.46196,1.17164,0.02383,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
38,2274.34,1.43111,0.69707,0.00554,0.82484,0.7678,0.84863,0.60123,1.50014,1.23521,0.02527,0.0288992,0.00963306,0.0288992,0.00963306,0.0288992,0.00963306,0.0288992,0.00963306
39,2331.42,1.41239,0.69186,0.00558,0.82171,0.77135,0.85491,0.59382,1.45507,1.18977,0.02083,0.0288397,0.00961322,0.0288397,0.00961322,0.0288397,0.00961322,0.0288397,0.00961322
40,2390.87,1.442,0.70976,0.00556,0.77435,0.7682,0.83794,0.59186,1.49944,1.21338,0.02459,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
41,2448.51,1.42169,0.67849,0.00549,0.80828,0.7831,0.85547,0.62772,1.39342,1.14518,0.02073,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205
