epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,285.633,4.40853,6.43921,0.02596,0.37486,0.28978,0.28939,0.12018,3.43745,13.3286,0.08319,0.00993289,0.00331096,0.00993289,0.00331096,0.0768233,0.0702013,0.00993289,0.00331096
2,689.137,2.78126,3.67409,0.01537,0.42664,0.5296,0.45694,0.24395,2.22518,5.53789,0.04363,0.0199323,0.00664411,0.0199323,0.00664411,0.0534894,0.0402012,0.0199323,0.00664411
3,1015.49,2.43242,2.95607,0.01232,0.46791,0.63836,0.54224,0.30811,2.03187,5.05203,0.04006,0.0299296,0.00997655,0.0299296,0.00997655,0.0301533,0.0102003,0.0299296,0.00997655
4,1363.48,2.26255,2.52383,0.01154,0.56142,0.59233,0.60117,0.386,2.04365,4.40289,0.04075,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
5,1674.07,2.15729,2.16759,0.01058,0.6455,0.60815,0.67198,0.40246,1.9879,3.67063,0.03444,0.029987,0.00999566,0.029987,0.00999566,0.029987,0.00999566,0.029987,0.00999566
6,1931.96,2.0452,1.93639,0.00989,0.73102,0.7025,0.76733,0.49208,1.7926,2.87201,0.0328,0.0299796,0.00999322,0.0299796,0.00999322,0.0299796,0.00999322,0.0299796,0.00999322
7,2258.73,1.97466,1.72824,0.00921,0.68993,0.62401,0.69014,0.44335,1.83688,2.85701,0.0342,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
8,2559.57,1.94112,1.61441,0.00887,0.70925,0.73008,0.77088,0.51644,1.62881,2.29939,0.02819,0.0299601,0.00998671,0.0299601,0.00998671,0.0299601,0.00998671,0.0299601,0.00998671
9,2995.99,1.90384,1.52133,0.00865,0.70342,0.69007,0.7536,0.50272,1.66572,2.15202,0.02787,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264
10,3286.86,1.8571,1.41038,0.00829,0.74862,0.74488,0.79819,0.53669,1.66569,1.9494,0.02932,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
11,3583.35,1.81458,1.33241,0.00805,0.75341,0.71712,0.78597,0.53021,1.69413,1.82721,0.03092,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288
12,3988.99,1.78245,1.29077,0.0081,0.6799,0.66617,0.70945,0.4729,1.71736,1.9634,0.02956,0.0299016,0.0099672,0.0299016,0.0099672,0.0299016,0.0099672,0.0299016,0.0099672
