epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,328.449,4.45747,6.82154,0.02633,0.43239,0.3587,0.34449,0.13793,2.63734,7.56553,0.0505,0.00993289,0.00331096,0.00993289,0.00331096,0.0768233,0.0702013,0.00993289,0.00331096
2,793.226,2.8793,3.68945,0.01547,0.43985,0.54616,0.46671,0.23994,2.20979,5.55336,0.0458,0.0199323,0.00664411,0.0199323,0.00664411,0.0534894,0.0402012,0.0199323,0.00664411
3,1188.97,2.47737,2.89926,0.01259,0.40745,0.48981,0.46282,0.27717,2.0005,5.02659,0.03667,0.0299296,0.00997655,0.0299296,0.00997655,0.0301533,0.0102003,0.0299296,0.00997655
4,1655.69,2.27704,2.47749,0.01162,0.55624,0.54108,0.58793,0.38543,1.86875,4.36551,0.03559,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
5,1953.85,2.14277,2.12302,0.01048,0.62534,0.60731,0.64666,0.40764,1.94639,3.59636,0.03821,0.029987,0.00999566,0.029987,0.00999566,0.029987,0.00999566,0.029987,0.00999566
6,2241.01,2.0355,1.88958,0.00978,0.68243,0.65675,0.71009,0.47021,1.90707,3.166,0.03764,0.0299796,0.00999322,0.0299796,0.00999322,0.0299796,0.00999322,0.0299796,0.00999322
7,2746.23,1.96804,1.68618,0.00909,0.72777,0.678,0.75444,0.51558,1.72872,2.70899,0.03239,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
8,3170.86,1.92885,1.5862,0.00877,0.69174,0.6909,0.73247,0.47339,1.74396,2.4382,0.03227,0.0299601,0.00998671,0.0299601,0.00998671,0.0299601,0.00998671,0.0299601,0.00998671
9,3696.32,1.89397,1.48942,0.00848,0.7534,0.72953,0.80204,0.52484,1.75289,2.23177,0.03406,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264
10,4090.6,1.85791,1.39524,0.0082,0.71691,0.68209,0.74994,0.49506,1.69339,2.13508,0.0282,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
11,4590.5,1.80907,1.30437,0.00801,0.73789,0.70908,0.77646,0.52407,1.70647,1.91011,0.02869,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288
