epoch,stability,assigned_frac,anchors_per_gt,DR,miss_frac,dup_frac,cm_mean,cm_median
1,nan,1.0000,1.000,0.8089,0.2356,0.0444,0.5077,0.5715
2,0.6178,1.0000,1.000,0.8333,0.2156,0.0489,0.5737,0.6893
3,0.6178,1.0000,1.000,0.8222,0.2067,0.0289,0.5475,0.6100
4,0.6200,1.0000,1.000,0.9444,0.1511,0.0933,0.6124,0.7378
5,0.5956,1.0000,1.000,0.8844,0.1689,0.0511,0.5677,0.6743
6,0.5511,1.0000,1.000,0.8111,0.2978,0.1089,0.4374,0.4219
7,0.5978,1.0000,1.000,0.9600,0.1111,0.0689,0.6456,0.7780
8,0.6022,1.0000,1.000,0.7467,0.2844,0.0311,0.5051,0.5771
9,0.5600,1.0000,1.000,0.8956,0.1622,0.0578,0.6185,0.7868
10,0.6244,1.0000,1.000,0.7867,0.2400,0.0267,0.5539,0.6826
11,0.4578,1.0000,1.000,0.8111,0.2333,0.0422,0.5206,0.6222
12,0.6556,1.0000,1.000,0.8956,0.1689,0.0644,0.6208,0.7886
13,0.6044,1.0000,1.000,0.8622,0.1756,0.0378,0.6020,0.7328
14,0.5867,1.0000,1.000,0.8244,0.2222,0.0467,0.5372,0.6682
15,0.6444,1.0000,1.000,0.9222,0.1378,0.0600,0.6427,0.7818
16,0.6422,1.0000,1.000,0.8444,0.1933,0.0378,0.5780,0.7008
17,0.6267,1.0000,1.000,0.8444,0.2244,0.0689,0.5321,0.6433
18,0.6311,1.0000,1.000,0.7911,0.2511,0.0422,0.5686,0.7028
19,0.6444,1.0000,1.000,0.8556,0.1956,0.0489,0.5967,0.7415
20,0.6067,1.0000,1.000,0.8044,0.2400,0.0444,0.5596,0.6878
21,0.6378,1.0000,1.000,0.8178,0.2200,0.0378,0.5920,0.7626
22,0.6267,1.0000,1.000,0.8689,0.2044,0.0733,0.6008,0.7611
23,0.6956,1.0000,1.000,0.8644,0.1822,0.0467,0.6672,0.8472
24,0.5844,1.0000,1.000,0.7844,0.2422,0.0267,0.5559,0.6711
25,0.6800,1.0000,1.000,0.7333,0.3089,0.0422,0.4994,0.5256
26,0.6267,1.0000,1.000,0.7267,0.2822,0.0089,0.5085,0.5876
27,0.7000,1.0000,1.000,0.7156,0.3067,0.0222,0.5101,0.6073
28,0.6689,1.0000,1.000,0.8289,0.2111,0.0400,0.5838,0.7427
29,0.6089,1.0000,1.000,0.7178,0.3089,0.0267,0.4906,0.5878
30,0.6711,1.0000,1.000,0.8422,0.1889,0.0311,0.6283,0.7901
31,0.7578,1.0000,1.000,0.7533,0.2689,0.0222,0.5307,0.6594
32,0.7067,1.0000,1.000,0.8267,0.2000,0.0267,0.6335,0.8149
33,0.6578,1.0000,1.000,0.8333,0.2111,0.0444,0.5777,0.7113
34,0.6956,1.0000,1.000,0.8244,0.1911,0.0156,0.6222,0.7560
35,0.6867,1.0000,1.000,0.7156,0.3089,0.0244,0.5155,0.6369
36,0.6689,1.0000,1.000,0.8911,0.1667,0.0578,0.6273,0.7872
37,0.7067,1.0000,1.000,0.8778,0.1644,0.0400,0.6457,0.7982
38,0.6756,1.0000,1.000,0.8667,0.1756,0.0422,0.6476,0.8205
39,0.5756,1.0000,1.000,0.6822,0.3711,0.0533,0.4323,0.3932
40,0.7178,1.0000,1.000,0.8444,0.1889,0.0333,0.6255,0.7819
41,0.5378,1.0000,1.000,0.8289,0.1911,0.0200,0.6035,0.7413
42,0.6600,1.0000,1.000,0.8933,0.1822,0.0733,0.6097,0.7596
43,0.6156,1.0000,1.000,0.8244,0.2111,0.0356,0.5827,0.6882
44,0.6733,1.0000,1.000,0.8533,0.1689,0.0222,0.6496,0.7996
45,0.6756,1.0000,1.000,0.8044,0.2289,0.0333,0.5906,0.7253
46,0.6178,1.0000,1.000,0.8200,0.1978,0.0178,0.6187,0.7784
47,0.7000,1.0000,1.000,0.6756,0.3467,0.0222,0.4884,0.5410
48,0.6178,1.0000,1.000,0.5622,0.4467,0.0089,0.4187,0.3772
49,0.6044,1.0000,1.000,0.8489,0.1911,0.0400,0.6258,0.7959
50,0.6356,1.0000,1.000,0.7467,0.2800,0.0267,0.5539,0.7000
51,0.7044,1.0000,1.000,0.7378,0.2867,0.0244,0.5279,0.6449
52,0.6756,1.0000,1.000,0.7711,0.2556,0.0267,0.5771,0.7083
53,0.6778,1.0000,1.000,0.5622,0.4467,0.0089,0.4290,0.4057
54,0.6778,1.0000,1.000,0.6956,0.3400,0.0333,0.4836,0.5177
55,0.6489,1.0000,1.000,0.5556,0.4489,0.0044,0.4138,0.3669
56,0.6711,1.0000,1.000,0.6556,0.3667,0.0222,0.5012,0.6228
57,0.6600,1.0000,1.000,0.7756,0.2533,0.0289,0.5688,0.7204
58,0.7222,1.0000,1.000,0.8311,0.2044,0.0356,0.6331,0.8164
59,0.5756,1.0000,1.000,0.5578,0.4533,0.0111,0.4178,0.3309
60,0.6200,1.0000,1.000,0.6889,0.3311,0.0200,0.5047,0.6375
61,0.6178,1.0000,1.000,0.8067,0.2222,0.0289,0.6314,0.8082
62,0.6044,1.0000,1.000,0.6867,0.3267,0.0133,0.5368,0.6811
63,0.7178,1.0000,1.000,0.7556,0.2800,0.0333,0.5411,0.6729
64,0.6578,1.0000,1.000,0.6111,0.4044,0.0156,0.4553,0.4958
65,0.7022,1.0000,1.000,0.6533,0.3556,0.0089,0.5079,0.6059
66,0.7022,1.0000,1.000,0.7822,0.2289,0.0111,0.6364,0.8253
67,0.7311,1.0000,1.000,0.7822,0.2378,0.0200,0.6016,0.7699
68,0.6911,1.0000,1.000,0.7667,0.2511,0.0178,0.5896,0.7689
69,0.7200,1.0000,1.000,0.7844,0.2378,0.0222,0.6185,0.8150
70,0.6733,1.0000,1.000,0.6889,0.3267,0.0156,0.5266,0.6392
71,0.7333,1.0000,1.000,0.8111,0.2111,0.0222,0.6304,0.7942
72,0.7467,1.0000,1.000,0.7822,0.2311,0.0133,0.6022,0.7748
73,0.7200,1.0000,1.000,0.8111,0.2200,0.0311,0.6333,0.8260
74,0.7356,1.0000,1.000,0.8267,0.1933,0.0200,0.6540,0.8426
75,0.7489,1.0000,1.000,0.7044,0.3156,0.0200,0.5706,0.7411
76,0.7244,1.0000,1.000,0.7378,0.2800,0.0178,0.5717,0.7456
77,0.6311,1.0000,1.000,0.5622,0.4444,0.0067,0.4603,0.4643
78,0.6800,1.0000,1.000,0.8200,0.1933,0.0133,0.6593,0.8372
79,0.7333,1.0000,1.000,0.8067,0.2067,0.0133,0.6654,0.8394
80,0.8022,1.0000,1.000,0.8022,0.2178,0.0200,0.6467,0.8411
81,0.7000,1.0000,1.000,0.7556,0.2667,0.0222,0.5813,0.7799
82,0.7889,1.0000,1.000,0.7422,0.2622,0.0044,0.6032,0.7699
83,0.7378,1.0000,1.000,0.8267,0.1933,0.0200,0.6532,0.8339
84,0.7533,1.0000,1.000,0.7667,0.2444,0.0111,0.5994,0.7913
85,0.6089,1.0000,1.000,0.6756,0.3311,0.0067,0.5656,0.7471
86,0.7178,1.0000,1.000,0.7911,0.2289,0.0200,0.6403,0.8610
87,0.6978,1.0000,1.000,0.6511,0.3556,0.0067,0.5272,0.6665
88,0.6867,1.0000,1.000,0.7289,0.2956,0.0244,0.5559,0.7224
89,0.6800,1.0000,1.000,0.8267,0.1911,0.0178,0.6712,0.8388
90,0.7333,1.0000,1.000,0.7133,0.3067,0.0200,0.5542,0.7392
91,0.7333,1.0000,1.000,0.7067,0.3044,0.0111,0.5630,0.7532
92,0.7289,1.0000,1.000,0.6867,0.3222,0.0089,0.5307,0.6606
93,0.6911,1.0000,1.000,0.7711,0.2378,0.0089,0.6153,0.7814
94,0.7311,1.0000,1.000,0.8178,0.2044,0.0222,0.6554,0.8396
95,0.6956,0.9978,1.000,0.7600,0.2489,0.0089,0.5924,0.7665
96,0.7622,1.0000,1.000,0.7844,0.2400,0.0244,0.6160,0.7993
97,1.0000,1.0000,1.000,0.7844,0.2400,0.0244,0.6160,0.7993
