epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,88.8189,1.25638,2.38323,0.00561,0.73477,0.68508,0.7486,0.5711,0.88497,1.48367,0.01289,0.00993289,0.00331096,0.00993289,0.00331096,0.0768233,0.0702013,0.00993289,0.00331096
2,159.388,1.10933,0.97641,0.00498,0.776,0.73953,0.80963,0.60682,0.97566,1.15842,0.01714,0.0199323,0.00664411,0.0199323,0.00664411,0.0534894,0.0402012,0.0199323,0.00664411
3,222.42,1.12465,0.83267,0.00508,0.7317,0.74731,0.79373,0.56284,1.13595,1.05958,0.02285,0.0299296,0.00997655,0.0299296,0.00997655,0.0301533,0.0102003,0.0299296,0.00997655
4,282.407,1.12845,0.80457,0.00546,0.73154,0.69739,0.77866,0.54681,1.18396,1.18388,0.02442,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
5,342.368,1.12199,0.78278,0.00547,0.75761,0.73627,0.79674,0.54613,1.1988,1.12399,0.02333,0.029987,0.00999566,0.029987,0.00999566,0.029987,0.00999566,0.029987,0.00999566
6,403.181,1.10637,0.74492,0.0054,0.73954,0.74449,0.77246,0.5189,1.36382,1.14234,0.03469,0.0299796,0.00999322,0.0299796,0.00999322,0.0299796,0.00999322,0.0299796,0.00999322
7,463.524,1.09117,0.70037,0.00523,0.79339,0.72607,0.80945,0.5646,1.15426,0.95935,0.02463,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
8,523.898,1.08343,0.6761,0.00513,0.8036,0.75525,0.83411,0.56889,1.17232,0.94329,0.02315,0.0299601,0.00998671,0.0299601,0.00998671,0.0299601,0.00998671,0.0299601,0.00998671
9,584.523,1.08103,0.67418,0.00512,0.79855,0.76527,0.84226,0.58012,1.20103,1.01168,0.02391,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264
10,644.986,1.06014,0.65064,0.00497,0.80243,0.78071,0.84404,0.58229,1.23166,0.99432,0.0258,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
11,705.273,1.0422,0.63693,0.00493,0.78676,0.71443,0.79356,0.56471,1.23492,1.10439,0.02573,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288
12,765.586,1.03258,0.62524,0.00501,0.78043,0.73591,0.79569,0.56544,1.24872,1.24123,0.02672,0.0299016,0.0099672,0.0299016,0.0099672,0.0299016,0.0099672,0.0299016,0.0099672
13,826.374,1.03681,0.61773,0.00476,0.8002,0.76273,0.83724,0.57759,1.16556,0.93996,0.02162,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
