epoch,stability,assigned_frac,anchors_per_gt,DR,miss_frac,dup_frac,cm_mean,cm_median
1,nan,1.0000,1.000,0.1311,0.9222,0.0267,0.0316,0.0132
2,0.2533,1.0000,1.000,1.6467,0.3400,0.4756,0.1218,0.0879
3,0.2844,1.0000,1.000,1.7956,0.2311,0.5444,0.1968,0.1506
4,0.3867,1.0000,1.000,1.6978,0.1689,0.5467,0.2735,0.2330
5,0.5022,1.0000,1.000,1.6622,0.1622,0.5911,0.3170,0.2454
6,0.5200,1.0000,1.000,0.9911,0.2489,0.2244,0.3736,0.3113
7,0.5467,1.0000,1.000,1.0711,0.2133,0.2644,0.3817,0.3066
8,0.6089,1.0000,1.000,1.0667,0.2156,0.2556,0.4058,0.3480
9,0.6067,1.0000,1.000,1.1956,0.1444,0.3089,0.4812,0.4616
10,0.6333,1.0000,1.000,1.0756,0.1933,0.2533,0.4375,0.4030
11,0.6444,1.0000,1.000,0.8756,0.2533,0.1244,0.4501,0.4433
12,0.6600,1.0000,1.000,0.9156,0.2511,0.1578,0.4342,0.4197
13,0.6244,1.0000,1.000,1.0489,0.1778,0.2089,0.5190,0.5346
14,0.6444,1.0000,1.000,0.9644,0.2067,0.1667,0.4871,0.5014
15,0.6156,1.0000,1.000,0.8444,0.2756,0.1111,0.4644,0.4563
16,0.6489,1.0000,1.000,0.8467,0.2378,0.0844,0.4743,0.5491
17,0.6600,1.0000,1.000,0.9933,0.1444,0.1356,0.5756,0.6747
18,0.6533,1.0000,1.000,0.9156,0.2200,0.1333,0.5183,0.5716
19,0.6778,1.0000,1.000,0.8533,0.2422,0.0956,0.4816,0.5069
20,0.7044,1.0000,1.000,0.9556,0.1533,0.1089,0.5576,0.6396
21,0.6444,1.0000,1.000,0.9844,0.1711,0.1444,0.5623,0.6828
22,0.6600,1.0000,1.000,0.8533,0.2333,0.0867,0.5367,0.6238
23,0.6578,1.0000,1.000,0.9444,0.1756,0.1111,0.5976,0.7410
24,0.6178,1.0000,1.000,0.8889,0.2267,0.1111,0.5337,0.6196
25,0.6756,1.0000,1.000,0.9222,0.1689,0.0911,0.5756,0.6867
26,0.6778,1.0000,1.000,0.7822,0.2667,0.0489,0.4900,0.5697
27,0.7022,1.0000,1.000,0.9289,0.1867,0.1156,0.5728,0.7239
28,0.6756,1.0000,1.000,0.9267,0.2111,0.1311,0.5441,0.6498
29,0.6222,1.0000,1.000,0.9311,0.1778,0.1089,0.6112,0.7742
30,0.6756,1.0000,1.000,0.9667,0.1467,0.1111,0.6101,0.7311
31,0.6822,1.0000,1.000,0.8533,0.1978,0.0511,0.5997,0.7346
32,0.7178,1.0000,1.000,0.8822,0.1822,0.0644,0.6021,0.7258
33,0.6622,1.0000,1.000,0.8911,0.1822,0.0711,0.5959,0.7448
34,0.6556,1.0000,1.000,0.9111,0.1667,0.0756,0.6095,0.7552
35,0.6733,1.0000,1.000,0.8156,0.2533,0.0689,0.5258,0.6240
36,0.6533,1.0000,1.000,0.9222,0.1578,0.0778,0.6358,0.7915
37,0.6622,1.0000,1.000,0.8978,0.1889,0.0844,0.5848,0.7130
38,0.6222,1.0000,1.000,0.8289,0.2333,0.0622,0.5631,0.6878
39,0.6422,1.0000,1.000,0.8578,0.1956,0.0533,0.5816,0.7052
40,0.6311,1.0000,1.000,0.6733,0.3622,0.0356,0.4464,0.4408
41,0.6956,1.0000,1.000,0.9333,0.1711,0.0978,0.6143,0.7916
42,0.6756,1.0000,1.000,0.9311,0.1444,0.0733,0.6341,0.7875
43,0.7178,1.0000,1.000,0.9000,0.1533,0.0533,0.6443,0.8101
