epoch,stability,assigned_frac,anchors_per_gt,DR,miss_frac,dup_frac,cm_mean,cm_median
77,0.6067,1.0000,1.000,0.6911,0.3222,0.0133,0.5284,0.6686
78,0.6378,1.0000,1.000,0.7511,0.2778,0.0289,0.5723,0.7271
79,0.5133,1.0000,1.000,0.7956,0.2422,0.0378,0.5747,0.7628
80,0.6044,1.0000,1.000,0.7222,0.3044,0.0267,0.5571,0.7079
81,0.6489,1.0000,1.000,0.7156,0.3133,0.0289,0.5222,0.6507
82,0.6000,1.0000,1.000,0.8089,0.2422,0.0511,0.5981,0.7991
83,0.5733,1.0000,1.000,0.7600,0.2911,0.0511,0.5514,0.6992
84,0.5356,1.0000,1.000,0.7311,0.3000,0.0311,0.5428,0.7204
85,0.6356,1.0000,1.000,0.7156,0.3000,0.0156,0.5530,0.7229
86,0.6511,1.0000,1.000,0.8133,0.2067,0.0200,0.6652,0.8511
87,0.6422,1.0000,1.000,0.8067,0.2400,0.0467,0.6181,0.8241
88,0.6711,1.0000,1.000,0.7933,0.2378,0.0311,0.6018,0.7726
89,0.5911,1.0000,1.000,0.7378,0.2889,0.0267,0.5631,0.7201
90,0.5533,1.0000,1.000,0.7489,0.2689,0.0178,0.5840,0.7404
91,0.6111,1.0000,1.000,0.6356,0.3844,0.0200,0.4755,0.5218
92,0.5822,1.0000,1.000,0.7467,0.2733,0.0200,0.5931,0.7687
93,0.6178,1.0000,1.000,0.8511,0.1867,0.0378,0.6483,0.8423
94,0.5733,1.0000,1.000,0.8333,0.2067,0.0378,0.6496,0.8455
95,0.6511,1.0000,1.000,0.8289,0.2200,0.0489,0.6248,0.8173
96,0.5689,1.0000,1.000,0.6467,0.3667,0.0133,0.5303,0.6915
97,0.6556,1.0000,1.000,0.7956,0.2333,0.0289,0.6385,0.8554
98,0.6622,1.0000,1.000,0.7578,0.2689,0.0267,0.5949,0.7804
99,0.6067,1.0000,1.000,0.7356,0.2822,0.0178,0.5813,0.7623
100,0.6333,1.0000,1.000,0.7333,0.2867,0.0200,0.5893,0.7784
101,1.0000,1.0000,1.000,0.7333,0.2867,0.0200,0.5893,0.7784
