epoch,stability,assigned_frac,anchors_per_gt,DR,miss_frac,dup_frac,cm_mean,cm_median
1,nan,1.0000,1.000,0.0489,0.9578,0.0067,0.0365,0.0158
2,0.1956,1.0000,1.000,1.1600,0.4133,0.3556,0.1172,0.0763
3,0.3644,1.0000,1.000,1.6956,0.2289,0.5444,0.1926,0.1392
4,0.3978,1.0000,1.000,1.2644,0.2311,0.4156,0.2824,0.2135
5,0.5444,1.0000,1.000,1.2089,0.2222,0.3533,0.3404,0.2957
6,0.5533,1.0000,1.000,1.1489,0.2044,0.3111,0.3636,0.3107
7,0.5800,1.0000,1.000,1.0933,0.2022,0.2778,0.4290,0.4062
8,0.6600,1.0000,1.000,1.0689,0.2022,0.2578,0.3981,0.3499
9,0.6600,1.0000,1.000,1.1267,0.1822,0.2733,0.4452,0.4018
10,0.6822,1.0000,1.000,0.9978,0.1778,0.1667,0.5171,0.5699
11,0.7089,1.0000,1.000,0.9978,0.1644,0.1578,0.5206,0.5543
12,0.6311,1.0000,1.000,0.6889,0.3822,0.0711,0.3784,0.3139
13,0.6578,1.0000,1.000,0.9622,0.1844,0.1467,0.5068,0.5529
14,0.7022,1.0000,1.000,0.8689,0.2400,0.1067,0.4798,0.4899
15,0.6333,1.0000,1.000,1.0289,0.1533,0.1800,0.5354,0.6058
16,0.6333,1.0000,1.000,0.7756,0.3111,0.0844,0.4164,0.3857
17,0.6844,1.0000,1.000,0.9489,0.1711,0.1178,0.5415,0.5991
18,0.7244,1.0000,1.000,0.9156,0.1844,0.1000,0.5627,0.6684
19,0.7200,1.0000,1.000,0.9644,0.1467,0.1089,0.5402,0.6133
20,0.6978,1.0000,1.000,0.8756,0.2267,0.0978,0.5123,0.5802
21,0.6600,1.0000,1.000,0.7600,0.3356,0.0933,0.4440,0.4406
22,0.6533,1.0000,1.000,0.8356,0.2378,0.0711,0.5339,0.6034
23,0.6444,1.0000,1.000,0.9978,0.1578,0.1467,0.5828,0.7122
24,0.6956,1.0000,1.000,0.9333,0.1867,0.1178,0.5497,0.6391
