epoch,stability,assigned_frac,anchors_per_gt,DR,miss_frac,dup_frac,cm_mean,cm_median
1,nan,1.0000,1.000,0.8889,0.2156,0.1000,0.4773,0.4852
2,0.6511,1.0000,1.000,0.9378,0.1667,0.1022,0.6021,0.7538
3,0.6267,1.0000,1.000,0.9911,0.1178,0.1067,0.6050,0.7119
4,0.5511,1.0000,1.000,0.9556,0.1556,0.1067,0.5771,0.6833
5,0.5844,1.0000,1.000,0.9667,0.1333,0.1000,0.6032,0.7219
6,0.6156,1.0000,1.000,1.0378,0.1356,0.1644,0.5571,0.6706
7,0.5200,1.0000,1.000,1.0156,0.1178,0.1178,0.6510,0.7978
8,0.6333,1.0000,1.000,0.9311,0.1733,0.1000,0.5863,0.7312
9,0.6467,1.0000,1.000,1.0244,0.1089,0.1267,0.6502,0.8267
10,0.6844,1.0000,1.000,0.9644,0.1467,0.1089,0.5750,0.7368
11,0.6200,1.0000,1.000,0.9156,0.1778,0.0933,0.5597,0.6934
12,0.5911,1.0000,1.000,0.9089,0.1644,0.0689,0.5867,0.7224
13,0.6733,1.0000,1.000,0.9156,0.1733,0.0822,0.5491,0.6547
14,0.6711,1.0000,1.000,0.9289,0.1733,0.1000,0.5817,0.7387
15,0.5911,1.0000,1.000,0.9600,0.1578,0.1178,0.6095,0.7792
16,0.7111,1.0000,1.000,0.9600,0.1556,0.1089,0.6353,0.8103
17,0.5867,1.0000,1.000,0.9378,0.1489,0.0867,0.6087,0.7598
18,0.5956,1.0000,1.000,0.8933,0.1689,0.0600,0.6302,0.7960
19,0.6156,1.0000,1.000,0.8956,0.1800,0.0733,0.6110,0.7620
20,0.6111,1.0000,1.000,0.9267,0.1578,0.0844,0.6159,0.7798
21,0.6400,1.0000,1.000,0.9622,0.1422,0.1022,0.6235,0.7939
22,0.7133,1.0000,1.000,0.8356,0.2222,0.0578,0.5645,0.6932
23,0.7333,1.0000,1.000,0.8933,0.1733,0.0667,0.6461,0.8115
24,0.7111,1.0000,1.000,0.8889,0.2022,0.0889,0.5816,0.7442
25,0.5978,1.0000,1.000,0.8689,0.1844,0.0533,0.6040,0.7580
26,0.6956,1.0000,1.000,0.9111,0.1444,0.0533,0.6085,0.7524
27,0.6778,1.0000,1.000,0.9378,0.1489,0.0800,0.6578,0.8352
28,0.6267,1.0000,1.000,0.8311,0.2333,0.0644,0.5697,0.7334
29,0.6867,1.0000,1.000,0.8267,0.2200,0.0444,0.6079,0.7790
30,0.6422,1.0000,1.000,0.8733,0.1844,0.0556,0.6196,0.7737
31,0.6711,1.0000,1.000,0.8111,0.2267,0.0378,0.5682,0.6776
32,0.7156,1.0000,1.000,0.9044,0.1800,0.0822,0.6286,0.7879
33,0.7022,1.0000,1.000,0.9600,0.1289,0.0867,0.6516,0.8129
34,0.7000,1.0000,1.000,0.8733,0.1911,0.0600,0.6130,0.7741
35,0.6200,1.0000,1.000,0.7289,0.3089,0.0378,0.5049,0.5605
36,0.6444,1.0000,1.000,0.8933,0.1644,0.0556,0.6620,0.8312
37,0.6600,1.0000,1.000,0.9267,0.1444,0.0689,0.6525,0.8021
38,0.7044,1.0000,1.000,0.9378,0.1311,0.0689,0.6814,0.8255
39,0.6489,1.0000,1.000,0.8000,0.2400,0.0400,0.5707,0.7062
40,0.5711,1.0000,1.000,0.8022,0.2356,0.0378,0.5674,0.6898
41,0.6600,1.0000,1.000,0.8667,0.1689,0.0356,0.6422,0.7998
42,0.7222,1.0000,1.000,0.9444,0.1333,0.0756,0.6613,0.8168
43,0.6844,1.0000,1.000,0.8200,0.2244,0.0444,0.5810,0.7183
44,0.7244,1.0000,1.000,0.8289,0.2156,0.0422,0.5931,0.7601
45,0.6533,1.0000,1.000,0.8956,0.1511,0.0467,0.6779,0.8521
46,0.7089,1.0000,1.000,0.8533,0.1844,0.0378,0.6039,0.7276
47,0.7467,1.0000,1.000,0.8378,0.2067,0.0444,0.6013,0.7550
48,0.7844,1.0000,1.000,0.9422,0.1422,0.0822,0.6489,0.8255
49,0.6800,1.0000,1.000,0.8511,0.1956,0.0467,0.6122,0.7721
50,0.6956,1.0000,1.000,0.8156,0.2156,0.0311,0.6224,0.8141
51,0.7000,1.0000,1.000,0.8644,0.1844,0.0489,0.6117,0.7717
52,0.6000,1.0000,1.000,0.8311,0.2044,0.0356,0.6178,0.7635
53,0.7400,1.0000,1.000,0.7333,0.2844,0.0178,0.5481,0.6570
54,0.7178,1.0000,1.000,0.8578,0.1956,0.0533,0.6025,0.7613
55,0.7578,1.0000,1.000,0.8756,0.1733,0.0467,0.6072,0.7433
56,0.6978,1.0000,1.000,0.8511,0.1978,0.0444,0.6233,0.7988
57,0.7022,1.0000,1.000,0.8289,0.2022,0.0311,0.6307,0.8035
58,0.6911,1.0000,1.000,0.8089,0.2333,0.0422,0.5823,0.7483
59,0.7467,1.0000,1.000,0.8711,0.1778,0.0467,0.6438,0.8307
60,0.6778,1.0000,1.000,0.8378,0.2289,0.0622,0.5837,0.7435
61,0.6956,1.0000,1.000,0.8400,0.2200,0.0578,0.5760,0.7338
62,0.6489,1.0000,1.000,0.8178,0.2044,0.0200,0.6141,0.7629
63,0.6778,1.0000,1.000,0.7956,0.2311,0.0267,0.5934,0.7568
64,0.7244,1.0000,1.000,0.8511,0.2000,0.0489,0.6340,0.8131
65,0.7444,1.0000,1.000,0.8022,0.2200,0.0222,0.6179,0.7984
66,0.7222,1.0000,1.000,0.7533,0.2667,0.0178,0.5700,0.7272
67,0.6756,1.0000,1.000,0.7422,0.2844,0.0267,0.5512,0.6850
68,0.7778,1.0000,1.000,0.7311,0.2956,0.0267,0.5401,0.6799
69,0.6200,1.0000,1.000,0.8467,0.1978,0.0422,0.6273,0.8054
70,0.7467,1.0000,1.000,0.7956,0.2400,0.0356,0.5872,0.7797
71,0.7222,1.0000,1.000,0.7600,0.2600,0.0200,0.5928,0.7850
72,0.6533,1.0000,1.000,0.7689,0.2533,0.0222,0.6042,0.8036
73,0.6978,1.0000,1.000,0.7778,0.2600,0.0378,0.5680,0.7313
74,0.7089,1.0000,1.000,0.8378,0.1733,0.0111,0.6587,0.8315
75,0.7489,1.0000,1.000,0.8289,0.2111,0.0400,0.6152,0.8002
76,0.7511,1.0000,1.000,0.7978,0.2289,0.0267,0.6213,0.8088
77,0.6911,1.0000,1.000,0.5067,0.5200,0.0244,0.3753,0.2188
78,0.6778,1.0000,1.000,0.8044,0.2356,0.0400,0.5954,0.7555
79,0.7133,1.0000,1.000,0.7778,0.2511,0.0289,0.5859,0.7580
80,0.7578,1.0000,1.000,0.8000,0.2267,0.0267,0.6065,0.7769
81,0.7156,1.0000,1.000,0.7711,0.2467,0.0178,0.5935,0.7790
82,0.6689,1.0000,1.000,0.7022,0.3178,0.0200,0.5605,0.7270
83,0.6978,1.0000,1.000,0.7889,0.2467,0.0356,0.5870,0.7464
84,0.6644,1.0000,1.000,0.7600,0.2711,0.0311,0.5515,0.7163
85,1.0000,1.0000,1.000,0.7600,0.2711,0.0311,0.5515,0.7163
