epoch,stability,assigned_frac,anchors_per_gt,DR,miss_frac,dup_frac,cm_mean,cm_median
1,nan,1.0000,1.000,0.0378,0.9689,0.0067,0.0296,0.0138
2,0.2711,1.0000,1.000,1.7289,0.2756,0.5422,0.1588,0.1219
3,0.3600,1.0000,1.000,1.5133,0.2222,0.4867,0.2390,0.1929
4,0.4667,1.0000,1.000,1.3556,0.2222,0.4600,0.2868,0.2269
5,0.5356,1.0000,1.000,1.0800,0.2533,0.2933,0.3424,0.2857
6,0.5822,1.0000,1.000,1.2178,0.1933,0.3622,0.3768,0.3366
7,0.6244,1.0000,1.000,1.1244,0.1867,0.2778,0.4164,0.3821
8,0.6400,1.0000,1.000,1.0444,0.2200,0.2489,0.4071,0.3218
9,0.6378,1.0000,1.000,1.0867,0.1600,0.2422,0.4516,0.4501
10,0.6556,1.0000,1.000,1.1222,0.2000,0.2889,0.4369,0.4262
11,0.6578,1.0000,1.000,0.9600,0.2289,0.1867,0.4356,0.3862
12,0.6578,1.0000,1.000,0.9000,0.2222,0.1156,0.4725,0.4743
13,0.6889,1.0000,1.000,1.0711,0.1489,0.2089,0.5090,0.5394
14,0.6644,1.0000,1.000,0.9778,0.1911,0.1644,0.4999,0.5328
15,0.6800,1.0000,1.000,1.0000,0.1644,0.1644,0.5320,0.5700
16,0.6733,1.0000,1.000,0.9067,0.1889,0.0956,0.5111,0.5647
17,0.6533,1.0000,1.000,0.8933,0.2178,0.1111,0.5017,0.5538
18,0.6556,1.0000,1.000,1.0467,0.1778,0.2222,0.5213,0.5695
19,0.6378,1.0000,1.000,0.9578,0.1822,0.1400,0.5366,0.6269
20,0.6511,1.0000,1.000,0.9600,0.1578,0.1178,0.5836,0.6803
21,0.7089,1.0000,1.000,0.9867,0.1400,0.1267,0.5667,0.6757
22,0.6689,1.0000,1.000,0.9022,0.1778,0.0800,0.5995,0.7315
23,0.6889,1.0000,1.000,0.9356,0.1800,0.1133,0.5933,0.7384
24,0.6578,1.0000,1.000,0.7600,0.3044,0.0622,0.4602,0.4801
25,0.6489,1.0000,1.000,0.9444,0.1844,0.1267,0.5514,0.6575
26,0.6667,1.0000,1.000,0.8911,0.1911,0.0822,0.5719,0.7278
27,0.7178,1.0000,1.000,0.9222,0.1711,0.0911,0.5869,0.7275
28,0.6600,1.0000,1.000,0.9156,0.1867,0.1022,0.5858,0.7260
29,0.7044,1.0000,1.000,0.9400,0.1800,0.1178,0.5635,0.6954
30,0.6844,1.0000,1.000,0.8733,0.1822,0.0533,0.6057,0.7419
31,0.7022,1.0000,1.000,0.8956,0.1711,0.0667,0.5891,0.7263
32,0.6933,1.0000,1.000,0.8756,0.1800,0.0556,0.6334,0.8109
33,0.6378,1.0000,1.000,0.8667,0.1911,0.0556,0.5923,0.7252
34,0.6222,1.0000,1.000,0.9067,0.1622,0.0689,0.6330,0.7890
35,0.6756,1.0000,1.000,0.8622,0.1956,0.0578,0.6049,0.7508
36,0.6200,1.0000,1.000,0.9178,0.1844,0.1000,0.6057,0.7691
37,0.6600,1.0000,1.000,0.8733,0.1844,0.0578,0.5819,0.7151
38,0.7222,1.0000,1.000,0.8400,0.2022,0.0422,0.5906,0.7347
39,0.6711,1.0000,1.000,0.8911,0.1600,0.0511,0.6077,0.7561
40,0.7267,1.0000,1.000,0.9089,0.1533,0.0578,0.6334,0.7871
41,0.6800,1.0000,1.000,0.8778,0.1844,0.0622,0.5943,0.7266
42,0.6956,1.0000,1.000,0.9578,0.1244,0.0778,0.6793,0.8397
43,0.6911,1.0000,1.000,0.8489,0.2178,0.0667,0.5471,0.6805
44,0.6556,1.0000,1.000,0.9267,0.1356,0.0622,0.6553,0.8133
45,0.6511,1.0000,1.000,0.7956,0.2578,0.0533,0.5461,0.6493
46,0.6222,1.0000,1.000,0.7689,0.2778,0.0467,0.5083,0.6022
47,0.6556,1.0000,1.000,0.7600,0.2756,0.0356,0.5267,0.6372
48,0.6911,1.0000,1.000,0.9222,0.1533,0.0756,0.6134,0.7775
49,0.6733,1.0000,1.000,0.9689,0.1111,0.0800,0.6729,0.8319
