epoch,stability,assigned_frac,anchors_per_gt,DR,miss_frac,dup_frac,cm_mean,cm_median
77,0.7133,1.0000,1.000,0.8044,0.2289,0.0333,0.6276,0.8122
78,0.6733,1.0000,1.000,0.8333,0.2067,0.0400,0.6462,0.8335
79,0.7422,1.0000,1.000,0.8067,0.2267,0.0333,0.6028,0.7706
80,0.7022,1.0000,1.000,0.8378,0.1933,0.0311,0.6473,0.8223
81,0.7067,1.0000,1.000,0.7667,0.2578,0.0244,0.5738,0.7303
82,0.6556,1.0000,1.000,0.8489,0.2133,0.0622,0.6098,0.7881
83,0.7444,1.0000,1.000,0.8400,0.2156,0.0556,0.5949,0.7338
84,0.6222,1.0000,1.000,0.7111,0.3333,0.0444,0.4963,0.5834
85,0.6867,1.0000,1.000,0.7356,0.2956,0.0311,0.5517,0.7106
86,0.6022,1.0000,1.000,0.7689,0.2667,0.0356,0.5827,0.7555
87,0.6756,1.0000,1.000,0.8511,0.2067,0.0578,0.6292,0.7982
88,0.6400,1.0000,1.000,0.7444,0.2756,0.0200,0.5848,0.7553
89,0.7489,1.0000,1.000,0.7800,0.2556,0.0356,0.5852,0.7515
90,0.6200,1.0000,1.000,0.8289,0.2067,0.0333,0.6096,0.7607
91,0.7444,1.0000,1.000,0.8111,0.2267,0.0356,0.6163,0.7971
92,0.6889,1.0000,1.000,0.7600,0.2778,0.0378,0.5709,0.7302
93,0.7422,1.0000,1.000,0.7756,0.2600,0.0356,0.5655,0.7163
94,0.6267,1.0000,1.000,0.8133,0.2222,0.0356,0.6263,0.8306
95,0.7133,1.0000,1.000,0.8200,0.2267,0.0467,0.6348,0.8336
96,0.6644,1.0000,1.000,0.7711,0.2689,0.0400,0.5708,0.7293
97,0.7244,1.0000,1.000,0.7489,0.2867,0.0356,0.5616,0.7556
98,0.6756,1.0000,1.000,0.7978,0.2356,0.0333,0.6254,0.8310
99,0.6511,1.0000,1.000,0.7422,0.2822,0.0244,0.5976,0.8099
100,0.6356,1.0000,1.000,0.6356,0.3867,0.0222,0.5208,0.6745
101,0.6733,1.0000,1.000,0.7556,0.2800,0.0356,0.5793,0.7601
102,0.6956,1.0000,1.000,0.7444,0.2822,0.0244,0.5882,0.7718
103,0.7289,1.0000,1.000,0.7378,0.2844,0.0222,0.5803,0.7821
104,0.7178,1.0000,1.000,0.7978,0.2244,0.0222,0.6310,0.8176
105,0.7467,1.0000,1.000,0.7711,0.2556,0.0267,0.6112,0.8047
106,0.6378,1.0000,1.000,0.8356,0.2111,0.0444,0.6352,0.8349
107,0.7244,1.0000,1.000,0.6956,0.3222,0.0178,0.5487,0.7083
108,0.7089,1.0000,1.000,0.8022,0.2356,0.0378,0.6059,0.7863
109,0.6622,1.0000,1.000,0.8356,0.1978,0.0311,0.6648,0.8499
110,0.6444,1.0000,1.000,0.7956,0.2267,0.0222,0.6400,0.8277
111,0.7489,1.0000,1.000,0.7578,0.2667,0.0244,0.5764,0.7582
112,0.6711,1.0000,1.000,0.7156,0.3178,0.0333,0.5443,0.7367
113,0.7222,1.0000,1.000,0.7378,0.2844,0.0222,0.5656,0.7267
114,0.6689,1.0000,1.000,0.6467,0.3756,0.0222,0.5198,0.6963
115,0.7022,1.0000,1.000,0.7733,0.2578,0.0311,0.6001,0.7695
116,0.6844,1.0000,1.000,0.7200,0.3044,0.0244,0.5562,0.7061
117,0.6556,1.0000,1.000,0.6378,0.3867,0.0244,0.5032,0.5823
118,0.6822,1.0000,1.000,0.7600,0.2556,0.0156,0.6022,0.7845
119,0.6822,1.0000,1.000,0.7311,0.2978,0.0289,0.5893,0.8005
120,0.7222,1.0000,1.000,0.7444,0.2822,0.0267,0.5731,0.7434
121,0.7244,1.0000,1.000,0.7844,0.2444,0.0289,0.6214,0.8050
122,0.7178,1.0000,1.000,0.7733,0.2600,0.0333,0.5893,0.7596
123,0.6756,1.0000,1.000,0.8133,0.2400,0.0533,0.5813,0.7340
124,0.7089,1.0000,1.000,0.7889,0.2578,0.0467,0.6030,0.7764
125,0.6400,1.0000,1.000,0.8378,0.2111,0.0489,0.6375,0.8246
126,0.7378,1.0000,1.000,0.7400,0.2956,0.0356,0.5713,0.7300
