epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,275.868,4.38527,6.71871,0.02608,0.32228,0.33214,0.29254,0.13351,3.33134,13.5921,0.08337,0.00993289,0.00331096,0.00993289,0.00331096,0.0768233,0.0702013,0.00993289,0.00331096
2,703.399,2.79037,3.68869,0.01544,0.45719,0.53894,0.46758,0.2565,2.0074,5.19705,0.03194,0.0199323,0.00664411,0.0199323,0.00664411,0.0534894,0.0402012,0.0199323,0.00664411
3,1070.12,2.45737,2.95132,0.01256,0.45104,0.5805,0.48487,0.28084,2.10464,5.42949,0.04517,0.0299296,0.00997655,0.0299296,0.00997655,0.0301533,0.0102003,0.0299296,0.00997655
4,1415.4,2.28708,2.56239,0.01171,0.55236,0.62594,0.60347,0.35145,2.12381,4.60346,0.04563,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
5,1744.64,2.16594,2.1959,0.01067,0.62104,0.65027,0.69769,0.44146,1.82858,3.76559,0.0346,0.029987,0.00999566,0.029987,0.00999566,0.029987,0.00999566,0.029987,0.00999566
6,2019.72,2.06687,1.95737,0.01011,0.71391,0.68148,0.73853,0.43272,1.9864,3.078,0.03636,0.0299796,0.00999322,0.0299796,0.00999322,0.0299796,0.00999322,0.0299796,0.00999322
7,2344.01,1.97937,1.75756,0.00925,0.73034,0.69213,0.76487,0.50065,1.76231,2.57812,0.03001,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
8,2692.43,1.94137,1.62938,0.00891,0.71025,0.67308,0.74262,0.49556,1.68926,2.44876,0.02916,0.0299601,0.00998671,0.0299601,0.00998671,0.0299601,0.00998671,0.0299601,0.00998671
9,3124.22,1.91394,1.5296,0.00866,0.74209,0.72388,0.78305,0.51405,1.69734,2.19069,0.03269,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264
10,3424.46,1.85733,1.43393,0.00837,0.74254,0.68209,0.7511,0.49035,1.85019,2.13964,0.03431,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
11,3777.3,1.81708,1.33983,0.00812,0.77925,0.7206,0.79616,0.53408,1.64473,1.8409,0.02754,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288
12,4130.49,1.7789,1.28029,0.00818,0.75704,0.748,0.78281,0.53012,1.61525,1.79529,0.02862,0.0299016,0.0099672,0.0299016,0.0099672,0.0299016,0.0099672,0.0299016,0.0099672
13,4549.28,1.80756,1.24044,0.00782,0.74668,0.71312,0.75834,0.50239,1.91658,1.78107,0.03813,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
14,4932.22,1.73767,1.18158,0.00774,0.74188,0.70385,0.75081,0.50404,1.64378,1.67623,0.02809,0.0298626,0.0099542,0.0298626,0.0099542,0.0298626,0.0099542,0.0298626,0.0099542
15,5243.97,1.73491,1.16135,0.0076,0.70698,0.69348,0.72031,0.4992,1.92096,1.8872,0.03795,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469
16,5590.45,1.71418,1.11969,0.00746,0.72927,0.72455,0.76281,0.53029,1.65658,1.55713,0.02868,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
17,5967.8,1.69743,1.06266,0.00721,0.78612,0.77837,0.82909,0.56019,1.59564,1.33453,0.02667,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068
18,6430.2,1.68033,1.05458,0.00724,0.79409,0.71829,0.79967,0.54416,1.7116,1.5314,0.03047,0.0297653,0.00992177,0.0297653,0.00992177,0.0297653,0.00992177,0.0297653,0.00992177
19,6869.04,1.66218,1.02613,0.00721,0.75498,0.74046,0.80294,0.55851,1.54834,1.37303,0.0252,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
20,7192.3,1.64816,1.00265,0.00714,0.80137,0.75766,0.81004,0.54963,1.55457,1.39717,0.02382,0.029707,0.00990234,0.029707,0.00990234,0.029707,0.00990234,0.029707,0.00990234
21,7512.32,1.64026,0.97844,0.00713,0.77806,0.75734,0.82858,0.58103,1.52815,1.32477,0.0245,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183
22,7840.51,1.62799,0.97146,0.00698,0.78851,0.73527,0.81458,0.56488,1.55718,1.41496,0.02424,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
23,8230.95,1.61232,0.95102,0.0067,0.75814,0.72022,0.75751,0.53479,1.84776,1.60977,0.03641,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922
24,8524.95,1.60991,0.92833,0.00685,0.78595,0.77999,0.82975,0.57728,1.58675,1.26782,0.02659,0.0295713,0.00985711,0.0295713,0.00985711,0.0295713,0.00985711,0.0295713,0.00985711
25,8858.25,1.57171,0.91142,0.00661,0.79324,0.7452,0.82205,0.57423,1.56014,1.39253,0.02547,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
26,9296.47,1.60321,0.90305,0.00673,0.81948,0.7375,0.82763,0.55761,1.61086,1.34229,0.02604,0.029494,0.00983133,0.029494,0.00983133,0.029494,0.00983133,0.029494,0.00983133
27,9666.65,1.59175,0.8879,0.00655,0.79234,0.76684,0.83135,0.57706,1.48326,1.2483,0.02278,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765
