epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,122.799,1.0986,1.86099,0.00484,0.78235,0.74387,0.80596,0.61766,0.9033,1.13905,0.01476,0.00993289,0.00331096,0.00993289,0.00331096,0.0768233,0.0702013,0.00993289,0.00331096
2,192.193,1.05845,0.8007,0.00475,0.77151,0.73663,0.80949,0.58872,1.0973,1.21763,0.02177,0.0199323,0.00664411,0.0199323,0.00664411,0.0534894,0.0402012,0.0199323,0.00664411
3,252.511,1.09603,0.79172,0.00497,0.78031,0.76981,0.83581,0.6182,0.96684,0.97268,0.01636,0.0299296,0.00997655,0.0299296,0.00997655,0.0301533,0.0102003,0.0299296,0.00997655
4,313.345,1.11793,0.81271,0.0055,0.74586,0.79018,0.82475,0.59097,1.10675,1.13871,0.0209,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
5,376.078,1.10772,0.77191,0.00536,0.7698,0.76646,0.81485,0.58798,1.09997,1.0615,0.02066,0.029987,0.00999566,0.029987,0.00999566,0.029987,0.00999566,0.029987,0.00999566
6,441.217,1.0845,0.74775,0.00524,0.76334,0.70258,0.78643,0.52793,1.34488,1.13381,0.02993,0.0299796,0.00999322,0.0299796,0.00999322,0.0299796,0.00999322,0.0299796,0.00999322
7,501.05,1.06837,0.69332,0.0051,0.76755,0.78468,0.8338,0.58336,1.15909,1.00966,0.02247,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
8,558.677,1.07056,0.68798,0.00506,0.78736,0.69722,0.79462,0.53435,1.19558,1.14346,0.02371,0.0299601,0.00998671,0.0299601,0.00998671,0.0299601,0.00998671,0.0299601,0.00998671
9,616.52,1.07118,0.6725,0.00503,0.83503,0.7752,0.87208,0.61571,1.09815,0.87327,0.01966,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264
10,673.65,1.05427,0.66353,0.00493,0.7995,0.75661,0.83044,0.55536,1.20002,1.00163,0.02371,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
