variant,class,dim,stratum,n_gt,AP50,AP50_95
V3,two-wheeler,occlusion,heavy,0,nan,nan
V3,big-vehicle,density,sparse,87,0.8502,0.5905
V3,car,density,sparse,124,0.8746,0.6664
V3,pedestrian,density,sparse,12,0.6913,0.3847
V3,two-wheeler,density,sparse,221,0.7040,0.4436
V3,big-vehicle,density,medium,66,0.4908,0.3130
V3,car,density,medium,260,0.8285,0.6063
V3,pedestrian,density,medium,535,0.8136,0.4879
V3,two-wheeler,density,medium,453,0.5859,0.3284
V3,big-vehicle,density,dense,1,0.0660,0.0528
V3,car,density,dense,11,0.7613,0.5460
V3,pedestrian,density,dense,77,0.7954,0.4615
V3,two-wheeler,density,dense,21,0.4348,0.3062
V4,big-vehicle,global,all,154,0.6505,0.4439
V4,car,global,all,395,0.8423,0.6202
V4,pedestrian,global,all,624,0.7822,0.4764
V4,two-wheeler,global,all,695,0.6476,0.3707
V4,big-vehicle,size,small,15,0.5737,0.3830
V4,car,size,small,156,0.7464,0.5138
V4,pedestrian,size,small,254,0.6597,0.3655
V4,two-wheeler,size,small,489,0.6472,0.3617
V4,big-vehicle,size,medium,104,0.6447,0.4321
V4,car,size,medium,204,0.8965,0.6780
V4,pedestrian,size,medium,370,0.8629,0.5594
V4,two-wheeler,size,medium,206,0.7070,0.4391
V4,big-vehicle,size,large,35,0.8190,0.6066
V4,car,size,large,35,0.9394,0.8174
V4,pedestrian,size,large,0,nan,nan
V4,two-wheeler,size,large,0,nan,nan
V4,big-vehicle,occlusion,no,128,0.5992,0.3910
V4,car,occlusion,no,357,0.8379,0.6240
V4,pedestrian,occlusion,no,460,0.7987,0.4937
V4,two-wheeler,occlusion,no,631,0.6562,0.3784
V4,big-vehicle,occlusion,partial,24,0.7426,0.5062
V4,car,occlusion,partial,38,0.4316,0.2494
V4,pedestrian,occlusion,partial,162,0.4540,0.2102
V4,two-wheeler,occlusion,partial,64,0.1047,0.0417
V4,big-vehicle,occlusion,heavy,2,0.4952,0.1403
V4,car,occlusion,heavy,0,nan,nan
