pair,metric,n_boot,n_images,level,seed,map_a,map_b,diff_point,diff_mean_boot,ci_lo,ci_hi,frac_positif,selang_tanpa_nol
V8 vs V1,mAP50-95,1000,160,0.95,0,0.494445,0.479565,0.0148799,0.0147393,-0.000456572,0.0304984,0.972,False
V4 vs V1,mAP50-95,1000,160,0.95,0,0.477793,0.479565,-0.001772,-0.00149684,-0.0187306,0.0148282,0.436,False
V8 vs V5,mAP50-95,1000,160,0.95,0,0.494445,0.471843,0.0226021,0.0224441,0.00750649,0.0370562,0.998,True
