tau,V1,V3,V5,V7,V8
0.05,0.9700,0.9369,1.0454,0.9773,1.0223
0.1,0.8938,0.8485,0.9615,0.9008,0.9492
0.15,0.8465,0.7977,0.9031,0.8488,0.9031
0.2,0.8127,0.7542,0.8615,0.7973,0.8669
0.25,0.7781,0.7204,0.8246,0.7612,0.8327
0.3,0.7527,0.6919,0.7958,0.7242,0.7958
0.4,0.6915,0.6419,0.7404,0.6681,0.7377
0.5,0.6312,0.5815,0.6885,0.6019,0.6904
0.6,0.5685,0.5219,0.6300,0.5408,0.6381
0.7,0.4869,0.4485,0.5600,0.4673,0.5527
0.8,0.3542,0.3519,0.4577,0.3715,0.4408
0.9,0.1527,0.1623,0.2412,0.1673,0.2558
