interval,class,direction,y,yhat,abs_err
0,big-vehicle,in,2,0,2.0
0,big-vehicle,out,0,0,0.0
0,car,in,34,15,19.0
0,car,out,0,0,0.0
0,two-wheeler,in,70,61,9.0
0,two-wheeler,out,0,0,0.0
1,big-vehicle,in,4,0,4.0
1,big-vehicle,out,0,0,0.0
1,car,in,18,7,11.0
1,car,out,0,0,0.0
1,two-wheeler,in,53,54,1.0
1,two-wheeler,out,0,0,0.0
2,big-vehicle,in,1,0,1.0
2,big-vehicle,out,0,0,0.0
2,car,in,25,13,12.0
2,car,out,0,0,0.0
2,two-wheeler,in,26,26,0.0
2,two-wheeler,out,0,0,0.0
3,big-vehicle,in,3,0,3.0
3,big-vehicle,out,0,0,0.0
3,car,in,16,14,2.0
3,car,out,0,0,0.0
3,two-wheeler,in,55,53,2.0
3,two-wheeler,out,0,0,0.0
4,big-vehicle,in,4,0,4.0
4,big-vehicle,out,0,0,0.0
4,car,in,36,14,22.0
4,car,out,0,0,0.0
4,two-wheeler,in,60,55,5.0
4,two-wheeler,out,0,0,0.0
5,big-vehicle,in,1,0,1.0
5,big-vehicle,out,0,0,0.0
5,car,in,37,11,26.0
5,car,out,0,0,0.0
5,two-wheeler,in,70,62,8.0
5,two-wheeler,out,0,0,0.0
6,big-vehicle,in,1,0,1.0
6,big-vehicle,out,0,0,0.0
6,car,in,28,11,17.0
6,car,out,0,0,0.0
6,two-wheeler,in,58,35,23.0
6,two-wheeler,out,0,0,0.0
7,big-vehicle,in,2,0,2.0
7,big-vehicle,out,0,0,0.0
7,car,in,29,12,17.0
7,car,out,0,0,0.0
7,two-wheeler,in,60,58,2.0
7,two-wheeler,out,0,0,0.0
8,big-vehicle,in,2,0,2.0
8,big-vehicle,out,0,0,0.0
8,car,in,39,16,23.0
8,car,out,0,0,0.0
8,two-wheeler,in,76,72,4.0
8,two-wheeler,out,0,0,0.0
9,big-vehicle,in,1,0,1.0
9,big-vehicle,out,0,0,0.0
9,car,in,41,20,21.0
9,car,out,0,0,0.0
9,two-wheeler,in,79,75,4.0
9,two-wheeler,out,0,0,0.0
