interval,class,direction,count
0,car,in,15
0,two-wheeler,in,61
1,car,in,7
1,two-wheeler,in,54
2,car,in,13
2,two-wheeler,in,26
3,car,in,14
3,two-wheeler,in,53
4,car,in,14
4,two-wheeler,in,55
5,car,in,11
5,two-wheeler,in,62
6,car,in,11
6,two-wheeler,in,35
7,car,in,12
7,two-wheeler,in,58
8,car,in,16
8,two-wheeler,in,72
9,car,in,20
9,two-wheeler,in,75
