interval,class,direction,count
0,two-wheeler,in,8
0,two-wheeler,out,1
1,big-vehicle,in,1
1,car,in,1
1,two-wheeler,in,8
2,car,out,1
2,two-wheeler,in,6
2,two-wheeler,out,4
3,car,in,2
3,two-wheeler,in,4
3,two-wheeler,out,2
4,two-wheeler,in,2
4,two-wheeler,out,3
5,car,in,1
5,two-wheeler,in,4
6,big-vehicle,in,1
6,two-wheeler,in,5
6,two-wheeler,out,2
7,car,out,2
7,two-wheeler,in,4
7,two-wheeler,out,3
8,car,in,1
8,two-wheeler,in,3
8,two-wheeler,out,1
9,two-wheeler,in,8
9,two-wheeler,out,1
