interval,class,direction,y,yhat,abs_err
0,big-vehicle,in,1,1,0.0
0,big-vehicle,out,0,0,0.0
0,car,in,4,2,2.0
0,car,out,3,2,1.0
0,two-wheeler,in,7,7,0.0
0,two-wheeler,out,9,8,1.0
1,big-vehicle,in,1,0,1.0
1,big-vehicle,out,1,1,0.0
1,car,in,10,11,1.0
1,car,out,5,6,1.0
1,two-wheeler,in,5,5,0.0
1,two-wheeler,out,8,8,0.0
2,big-vehicle,in,2,1,1.0
2,big-vehicle,out,4,2,2.0
2,car,in,4,4,0.0
2,car,out,5,5,0.0
2,two-wheeler,in,6,6,0.0
2,two-wheeler,out,12,9,3.0
3,big-vehicle,in,0,0,0.0
3,big-vehicle,out,2,1,1.0
3,car,in,6,5,1.0
3,car,out,7,9,2.0
3,two-wheeler,in,12,12,0.0
3,two-wheeler,out,4,5,1.0
4,big-vehicle,in,1,1,0.0
4,big-vehicle,out,0,0,0.0
4,car,in,2,2,0.0
4,car,out,2,2,0.0
4,two-wheeler,in,7,7,0.0
4,two-wheeler,out,8,7,1.0
5,big-vehicle,in,1,1,0.0
5,big-vehicle,out,5,1,4.0
5,car,in,10,9,1.0
5,car,out,3,2,1.0
5,two-wheeler,in,5,5,0.0
5,two-wheeler,out,6,5,1.0
6,big-vehicle,in,3,1,2.0
6,big-vehicle,out,2,1,1.0
6,car,in,0,1,1.0
6,car,out,2,4,2.0
6,two-wheeler,in,3,3,0.0
6,two-wheeler,out,10,9,1.0
7,big-vehicle,in,4,0,4.0
7,big-vehicle,out,4,2,2.0
7,car,in,3,4,1.0
7,car,out,10,7,3.0
7,two-wheeler,in,5,4,1.0
7,two-wheeler,out,6,4,2.0
8,big-vehicle,in,2,1,1.0
8,big-vehicle,out,6,2,4.0
8,car,in,6,4,2.0
8,car,out,4,7,3.0
8,two-wheeler,in,9,9,0.0
8,two-wheeler,out,5,2,3.0
9,big-vehicle,in,0,1,1.0
9,big-vehicle,out,2,1,1.0
9,car,in,15,15,0.0
9,car,out,9,9,0.0
9,two-wheeler,in,8,7,1.0
9,two-wheeler,out,10,9,1.0
